State,DL_bitrate
D,5855.047
D,17484.709
D,24962.831
D,24920.941
D,22910.241
D,5786.034
D,40621.296
D,235384.971
D,207275.709
D,211294.342
D,277911.496
D,266281.900
D,248073.303
D,252265.952
D,245606.598
D,255621.122
D,240071.511
D,266739.097
D,257885.403
D,259724.796
D,238190.563
D,274035.069
D,278398.162
D,261513.274
D,237020.750
D,222010.081
D,239244.427
D,222273.548
D,242355.598
D,257049.789
D,226973.832
D,234541.903
D,271216.212
D,248047.788
D,251095.192
D,239587.616
D,229920.392
D,127570.478
