State,DL_bitrate
D,4.866
D,443.247
D,459.111
D,455.294
D,387.681
D,418.326
D,412.650
D,413.473
D,390.297
D,381.940
D,409.579
D,382.908
D,406.853
D,390.678
D,456.846
D,395.698
D,429.515
D,423.828
D,372.460
D,386.056
D,424.961
D,446.126
D,450.506
D,390.621
D,444.979
D,454.235
D,400.400
D,426.328
D,399.582
D,482.571
D,416.574
D,424.925
D,430.659
D,469.066
D,409.119
D,464.235
D,492.112
D,411.567
D,404.005
D,485.875
D,493.822
D,466.330
D,407.731
D,392.138
D,436.853
D,388.498
D,401.258
D,390.378
D,465.370
D,483.442
D,403.599
D,432.400
D,421.184
D,484.986
D,449.610
D,393.531
D,401.170
D,487.457
D,433.252
D,416.303
D,475.235
D,472.614
D,404.473
D,410.102
D,408.945
D,424.157
D,403.098
D,440.384
D,449.891
D,412.821
D,430.670
D,389.132
D,480.589
D,396.185
D,418.373
D,457.457
D,389.039
D,466.060
D,380.311
D,453.828
D,452.244
D,430.822
D,483.416
D,427.501
D,458.873
D,461.590
D,438.740
D,480.303
D,424.464
D,492.280
D,468.543
D,432.293
D,501.186
D,462.542
D,443.944
D,424.392
D,464.658
D,454.085
D,443.424
D,437.611
D,441.232
D,413.208
D,455.118
D,456.200
D,466.041
D,426.107
D,405.722
D,498.947
D,411.156
D,438.263
D,421.362
D,442.780
D,419.059
D,29.925
D,438.098
D,426.555
D,427.139
D,461.643
D,407.779
D,391.016
D,428.648
D,426.187
D,464.225
D,428.375
D,408.255
D,393.692
D,420.869
D,427.221
D,481.485
D,498.947
D,482.522
D,423.079
D,445.603
D,491.208
D,470.546
D,443.400
D,447.934
D,480.208
D,425.429
D,395.546
D,440.313
D,413.031
D,465.350
D,417.961
D,429.874
D,453.929
D,399.562
D,402.865
D,445.987
D,455.050
D,447.866
D,388.312
D,456.454
D,422.528
D,391.367
D,413.182
D,406.792
D,396.620
D,457.401
D,422.056
D,477.308
D,408.400
D,445.918
D,467.100
D,418.814
D,455.047
D,417.044
D,491.462
D,461.909
D,481.155
D,495.947
D,434.909
D,462.073
D,495.068
D,472.746
D,530.978
D,485.645
D,514.510
D,440.497
D,445.400
D,457.419
D,495.049
D,501.862
D,521.585
D,425.870
D,521.254
D,480.007
D,462.528
D,442.446
D,428.377
D,497.719
D,461.368
D,432.911
D,428.789
D,466.902
D,428.082
D,378.109
D,401.833
D,421.943
D,383.697
D,361.282
D,413.338
D,391.646
D,417.794
D,381.716
D,421.210
D,401.611
D,373.422
D,412.109
D,433.221
D,375.930
D,401.958
D,457.939
D,404.700
D,410.219
D,413.742
D,408.717
D,401.840
D,481.476
D,435.946
D,444.980
D,397.494
D,492.514
D,460.963
D,445.971
D,471.947
D,483.506
D,431.876
D,430.565
D,482.457
D,438.387
D,425.556
D,413.191
D,393.474
D,465.826
D,401.730
D,450.160
D,471.189
D,436.517
D,447.310
D,403.148
D,504.866
D,492.173
D,479.602
D,436.778
D,432.943
D,428.894
D,414.213
D,419.572
D,441.948
D,485.422
D,437.470
D,447.974
D,392.285
D,472.859
D,408.957
D,470.193
D,466.213
D,466.328
D,467.311
D,461.230
D,435.941
D,472.289
D,460.603
D,400.065
D,440.071
D,461.021
D,476.894
D,426.367
D,450.041
D,443.588
D,456.902
D,395.399
D,419.495
D,461.985
D,470.875
D,430.435
D,458.284
D,430.247
D,425.350
D,440.884
D,403.897
D,438.329
D,470.529
D,459.279
D,430.340
D,415.621
D,395.356
D,479.713
D,472.184
D,434.220
D,429.448
D,489.176
D,423.718
D,2.631
D,421.757
D,452.254
D,435.281
D,449.633
D,479.470
