State,DL_bitrate
D,195.536
D,395.782
D,399.587
D,405.010
D,403.300
D,387.201
D,385.103
D,458.173
D,429.398
D,379.229
D,406.139
D,425.568
D,381.637
D,429.355
D,389.571
D,433.812
D,456.832
D,432.976
D,455.822
D,388.982
D,394.429
D,420.751
D,406.081
D,395.362
D,366.077
D,366.743
D,410.595
D,422.923
D,387.497
D,452.097
D,484.427
D,421.183
D,486.717
D,474.065
D,444.149
D,468.423
D,430.550
D,458.087
D,403.290
D,455.511
D,460.338
D,397.891
D,448.505
D,416.199
D,465.505
D,458.047
D,380.885
D,434.126
D,465.150
D,441.725
D,436.041
D,427.124
D,466.187
D,423.691
D,455.555
D,429.223
D,462.521
D,400.966
D,480.871
D,474.635
D,433.508
D,406.610
D,452.875
D,461.031
D,453.352
D,402.482
D,395.994
D,423.809
D,429.194
D,464.142
D,427.653
D,446.785
D,393.213
D,427.127
D,435.730
D,464.876
D,442.404
D,401.975
D,399.981
D,440.393
D,410.201
D,421.406
D,431.753
D,438.547
D,405.294
D,429.105
D,470.210
D,437.321
D,458.460
D,447.652
D,428.540
D,500.543
D,442.670
D,466.582
D,437.923
D,508.028
D,433.117
D,419.708
D,461.840
D,431.012
D,481.437
D,449.617
D,473.960
D,454.662
D,423.051
D,422.793
D,474.288
D,450.825
D,474.800
D,433.302
D,409.669
D,403.109
D,483.341
D,455.377
D,398.429
D,457.483
D,478.205
D,399.487
D,420.889
D,433.862
D,454.076
D,443.798
D,447.968
D,471.558
D,451.192
D,453.755
D,475.986
D,421.236
D,477.562
D,430.605
D,482.548
D,513.406
D,515.422
D,431.214
D,423.402
D,431.649
D,464.854
D,439.192
D,459.919
D,397.504
D,389.085
D,461.742
D,466.683
D,392.396
D,391.237
D,402.526
D,379.618
D,438.062
D,442.765
D,385.435
D,434.429
D,404.779
D,414.330
D,426.836
D,433.792
D,461.808
D,400.538
D,445.377
D,417.105
D,403.556
D,434.400
D,462.612
D,416.475
D,427.468
D,494.251
D,477.949
D,424.039
D,486.813
D,449.555
D,496.368
D,440.578
D,492.650
D,487.758
D,481.455
D,523.367
D,448.681
D,436.613
D,493.919
D,534.399
D,523.150
D,475.543
D,460.021
D,528.676
D,478.770
D,450.024
D,452.750
D,469.980
D,439.005
D,423.671
D,469.578
D,406.904
D,443.841
D,477.097
D,431.209
D,465.832
D,395.942
D,421.535
D,382.443
D,408.712
D,421.406
D,362.264
D,404.914
D,349.847
D,433.468
D,412.451
D,368.558
D,391.604
D,365.446
D,418.368
D,408.920
D,425.685
D,440.041
D,413.835
D,420.458
D,394.933
D,420.554
D,443.913
D,441.369
D,431.530
D,422.438
D,447.628
D,457.978
D,431.358
D,495.253
D,473.880
D,466.079
D,454.804
D,433.089
D,499.913
D,452.387
D,470.365
D,486.632
D,429.138
D,453.711
D,430.460
D,436.751
D,480.520
D,411.975
D,425.105
D,402.492
D,461.342
D,493.013
D,491.327
D,434.857
D,488.497
D,498.690
D,402.147
D,421.983
D,476.895
D,436.994
D,442.642
D,455.650
D,436.395
D,484.581
D,478.074
D,452.156
D,423.289
D,400.017
D,473.542
D,403.645
D,446.674
D,465.565
D,460.838
D,409.485
D,436.579
D,404.608
D,405.878
D,390.877
D,459.410
D,465.496
D,442.505
D,450.078
D,482.526
D,459.254
D,450.521
D,469.929
D,446.440
D,397.430
D,423.421
D,436.686
D,454.481
D,490.760
D,430.967
D,447.593
D,435.387
D,469.840
D,426.454
D,465.232
D,402.838
D,427.372
D,418.513
D,430.422
D,459.978
D,444.196
D,436.849
D,476.872
D,454.721
D,408.223
D,402.862
D,396.878
