State,DL_bitrate
D,3960.484
D,17622.541
D,21149.430
D,17630.537
D,9246.226
D,1908.468
D,8405.485
D,11477.182
D,17100.404
D,11131.779
D,8439.206
D,2103.868
D,11199.612
D,2772.028
D,2443.882
D,2491.801
D,4790.161
D,2339.672
D,5333.764
D,10710.608
D,11209.371
D,11138.439
D,7973.792
D,2134.030
D,11750.638
D,11134.632
D,10924.219
D,8942.931
D,7797.783
D,2224.270
D,11134.930
D,11447.728
D,11044.469
D,9338.039
D,9925.737
D,2579.998
D,10319.418
D,4277.733
D,11096.933
D,11187.975
D,7842.406
D,1932.065
D,11207.373
D,10440.275
D,10272.102
D,9336.057
D,9438.818
D,2210.176
D,9179.919
D,9514.082
D,9482.362
D,8771.779
D,8475.015
D,2415.089
D,9228.073
D,3051.466
D,11870.694
D,8686.202
D,9661.197
D,2386.589
