State,DL_bitrate
D,4847.428
D,11707.484
D,13165.171
D,12969.556
D,2525.833
D,2639.418
D,7946.554
D,6809.232
D,8890.221
D,3677.651
D,1408.493
D,1437.107
D,3234.337
D,922.738
D,1949.716
D,2080.402
D,2422.753
D,2100.534
D,2491.725
D,1068.885
D,1957.385
D,3341.908
D,2045.724
D,4023.142
D,3882.259
D,4905.806
D,3436.642
D,11362.444
D,25307.876
D,25053.706
D,24695.603
D,24745.017
D,3308.725
D,1267.492
D,2368.659
D,1252.326
D,3608.784
D,4548.639
D,4053.588
D,6712.691
D,1963.131
D,2415.396
D,1357.887
D,1567.927
D,3370.950
D,1890.046
D,3386.202
D,2792.410
D,1727.317
D,4184.056
D,2497.085
D,1623.980
D,5495.137
D,4126.934
D,8121.358
D,7416.055
D,8712.960
D,7981.813
D,5875.420
D,3743.601
