State,DL_bitrate
D,4405.999
D,17604.339
D,20746.805
D,18480.904
D,7872.181
D,1913.258
D,63465.512
D,68960.233
D,42997.312
D,32595.784
D,8118.498
D,2126.429
D,64247.442
D,47888.354
D,44438.660
D,31596.097
D,9890.498
D,2070.609
D,53925.266
D,50254.515
D,44012.966
D,32917.846
D,9083.082
D,2147.975
D,50314.354
D,38966.574
D,32091.306
D,35793.854
D,8321.655
D,2166.624
D,39801.209
D,37195.014
D,40683.989
D,40628.068
D,9802.327
D,2493.289
D,44675.540
D,38826.072
D,45134.109
D,30544.038
D,7597.888
D,1975.267
D,61704.167
D,68755.893
D,47960.336
D,39633.556
D,9365.252
D,2199.379
D,60185.481
D,51043.716
D,48665.684
D,34078.674
D,9391.039
D,2206.944
D,58827.513
D,36663.780
D,45357.450
D,35977.987
D,8341.399
D,2205.051
