State,DL_bitrate
D,3030.808
D,7138.067
D,11351.866
D,18185.662
D,33594.266
D,33826.998
D,32046.644
D,32981.778
D,36845.696
D,33608.453
D,37200.884
D,39879.800
D,34795.327
D,36710.174
D,31993.300
D,31846.463
D,34282.187
D,42747.560
D,41046.231
D,35550.146
D,33222.912
D,36332.140
D,33334.485
D,35165.480
D,36344.083
D,34216.550
D,38232.082
D,35234.061
D,36920.047
D,37366.735
D,34809.622
D,33763.850
D,35992.016
D,35914.910
D,41200.462
D,35197.815
D,35547.667
D,40704.402
D,11923.036
D,4054.061
D,7870.876
D,16442.336
D,17325.141
D,17377.351
D,19015.061
D,20875.447
D,19436.968
D,17713.737
D,35915.117
D,34713.227
D,33607.536
D,33456.761
D,34230.662
D,33740.133
D,37123.119
D,34674.343
D,39242.472
D,40714.880
D,34873.092
D,35218.526
