State,DL_bitrate
D,29.024
D,1875.407
D,2298.262
D,1923.889
D,2295.608
D,2005.414
D,2246.719
D,2073.807
D,1970.972
D,2119.523
D,2155.119
D,2045.779
D,2208.135
D,2173.948
D,2026.328
D,2347.921
D,2391.669
D,2070.158
D,2417.358
D,2371.671
D,2034.780
D,2196.390
D,2168.813
D,2283.079
D,1983.071
D,2417.589
D,2551.538
D,2281.004
D,2027.862
D,1996.182
D,2276.869
D,2376.567
D,2230.640
D,2212.300
D,2240.320
D,2219.918
D,2588.418
D,2085.486
D,2286.076
D,2259.625
D,1891.011
D,1826.594
D,2161.974
D,2167.600
D,2383.851
D,2346.372
D,2471.266
D,2215.826
D,2483.455
D,2056.170
D,2415.206
D,2190.598
D,2460.556
D,2335.854
D,2114.058
D,2175.469
D,2184.730
D,2178.811
D,2091.121
D,2319.373
