State,DL_bitrate
D,1542.991
D,15916.338
D,21394.558
D,14837.631
D,6873.729
D,2061.641
D,23819.784
D,18675.107
D,14282.920
D,14056.377
D,7649.906
D,1904.466
D,9249.092
D,12228.554
D,12346.101
D,9651.460
D,7606.383
D,1965.723
D,16544.124
D,12626.848
D,11164.624
D,10205.599
D,7084.944
D,2196.395
D,15369.837
D,18404.498
D,22201.857
D,14174.679
D,7923.603
D,2205.565
D,22857.289
D,25328.938
D,20548.172
D,15941.593
D,7189.198
D,2148.204
D,27994.538
D,24171.723
D,22305.195
D,27844.594
D,8451.166
D,2265.226
D,29205.309
D,24983.996
D,23058.135
D,30596.520
D,7502.824
D,2188.728
D,5142.183
D,34365.161
D,24458.831
D,29800.452
D,7290.050
D,2308.977
D,29104.801
D,25917.055
D,23408.741
D,31912.467
D,8136.907
D,2046.052
