State,DL_bitrate
D,1934.214
D,2129.018
D,4110.610
D,4348.622
D,3719.321
D,4215.643
D,5939.851
D,5673.377
D,6030.278
D,5599.904
D,5723.661
D,7716.232
D,7456.793
D,7347.299
D,7556.298
D,14157.975
D,15334.899
D,13821.351
D,14931.256
D,14980.501
D,14218.915
D,15621.914
D,15678.710
D,14256.356
D,15254.032
D,14476.146
D,14095.121
D,14646.878
D,13241.198
D,16684.559
D,16028.366
D,15759.444
D,14291.766
D,15000.905
D,13740.102
D,15968.431
D,30241.278
D,30280.647
D,32804.644
D,28386.563
D,31107.573
D,30509.518
D,32166.634
D,30647.385
D,30140.710
D,34046.821
D,28442.016
D,31060.426
D,30709.473
D,30721.486
D,32356.192
D,33261.537
D,32333.874
D,30251.999
D,31983.194
D,29947.248
D,31148.063
D,31699.690
D,31392.251
D,31350.199
