State,DL_bitrate
D,135.530
D,63.888
D,96.766
D,51.274
D,54.377
D,156.446
D,269.854
D,289.963
D,302.307
D,298.576
D,294.164
D,250.827
D,157.597
D,257.127
D,252.184
D,293.013
D,286.100
D,227.880
D,154.198
D,157.172
D,151.316
D,341.853
D,690.771
D,666.378
D,694.316
D,666.614
D,87.097
D,271.479
D,542.047
D,494.128
D,512.137
D,965.293
D,1071.889
D,969.601
D,1035.288
D,1087.169
D,1037.005
D,1041.348
D,2209.485
D,2301.658
D,1977.370
D,2089.850
D,1869.347
D,2123.732
D,2042.573
D,2159.064
D,2327.167
D,2195.241
D,2314.268
D,2275.039
D,2078.858
D,1985.710
D,2172.481
D,2094.436
D,1964.965
D,2248.964
D,2181.647
D,2205.824
D,2314.550
D,2311.153
