State,DL_bitrate
D,384.304
D,505.727
D,474.900
D,495.776
D,502.075
D,502.517
D,480.130
D,1011.735
D,1095.329
D,1021.326
D,1011.056
D,1085.768
D,1088.021
D,389.139
D,87.849
D,402.252
D,412.183
D,431.190
D,1947.437
D,2040.901
D,2080.309
D,2128.137
D,1897.042
D,1102.870
D,2040.544
D,1962.947
D,2082.027
D,2173.499
D,1867.209
D,2087.067
D,1383.349
D,1014.048
D,992.375
D,1015.119
D,1029.193
D,1024.042
D,722.623
D,1093.456
D,953.598
D,716.639
D,1013.796
D,1013.021
D,1050.545
D,1102.542
D,963.715
D,1007.603
D,1097.596
D,1002.458
D,1009.510
D,1035.780
D,118.487
D,297.977
D,294.269
D,293.032
D,151.479
D,148.553
D,114.753
D,413.225
D,403.570
D,275.358
