State,DL_bitrate
D,4117.900
D,13339.655
D,21750.786
D,31312.889
D,7948.561
D,2079.819
D,70567.587
D,89013.965
D,65486.590
D,28049.360
D,7710.691
D,2298.294
D,128819.079
D,98965.171
D,64507.404
D,32936.093
D,7817.867
D,1915.730
D,122282.426
D,97780.747
D,69065.452
D,33238.207
D,7293.055
D,2015.389
D,126675.986
D,94790.720
D,73816.569
D,32676.663
D,8671.841
D,1885.506
D,132476.272
D,105551.922
D,61435.454
D,32201.534
D,8451.867
D,1903.553
D,143758.060
D,99756.409
D,75639.863
D,27826.127
D,7844.464
D,2294.639
D,136060.045
D,97206.902
D,74425.143
D,31628.022
D,7968.861
D,2067.044
D,150581.485
D,95233.868
D,65574.894
D,31429.288
D,8327.720
D,2175.384
D,155713.780
D,99887.019
D,71164.781
D,28789.917
D,8166.638
D,2074.077
