State,DL_bitrate
D,1734.266
D,17249.120
D,21642.264
D,14804.514
D,7738.631
D,1877.590
D,20903.832
D,15828.065
D,14735.765
D,8152.273
D,7502.230
D,1756.519
D,10167.655
D,13579.740
D,15730.382
D,14892.508
D,8389.582
D,2278.926
D,14041.467
D,12201.570
D,14251.550
D,15847.423
D,7959.491
D,2027.101
D,18618.084
D,21523.754
D,17330.071
D,14201.741
D,6763.167
D,2016.605
D,29353.728
D,28039.087
D,26236.611
D,16900.153
D,7706.566
D,2025.500
D,28625.060
D,29358.340
D,25092.073
D,15261.419
D,8560.313
D,1908.959
D,5261.776
D,33506.941
D,25318.366
D,29642.951
D,7971.515
D,2292.144
D,29380.259
D,28418.997
D,24500.659
D,29016.954
D,6751.181
D,1912.311
D,24448.340
D,23871.264
D,20243.740
D,14133.247
D,6716.227
D,1891.156
