State,DL_bitrate
D,115.733
D,55.947
D,51.795
D,1831.346
D,1706.383
D,1778.643
D,1796.139
D,2159.529
D,2292.865
D,2032.609
D,2124.319
D,1993.612
D,1820.518
D,1690.705
D,1683.279
D,1741.171
D,1808.256
D,2257.425
D,2040.299
D,1875.499
D,2255.604
D,2095.909
D,1877.743
D,1697.551
D,1929.424
D,1888.681
D,2125.904
D,2050.267
D,1792.625
D,1699.540
D,1799.847
D,2155.226
D,2000.358
D,2012.486
D,2264.510
D,2104.749
D,2164.587
D,2037.895
D,1797.862
D,2222.087
D,1788.477
D,2017.677
D,1911.135
D,1891.192
D,1916.166
D,1946.631
D,2010.937
D,2141.057
D,1844.417
D,1843.643
D,2216.124
D,1994.250
D,1678.656
D,1871.102
D,1741.210
D,1863.149
D,1656.349
D,1790.362
D,1797.911
D,1794.593
