State,DL_bitrate
D,2757.584
D,10961.156
D,15077.915
D,13920.766
D,14293.133
D,15485.462
D,17500.283
D,17724.975
D,16696.932
D,16380.571
D,17147.027
D,16606.475
D,16270.392
D,15247.692
D,15757.428
D,17230.544
D,11906.952
D,10524.345
D,11806.587
D,12317.836
D,12067.913
D,12282.195
D,6670.734
D,5282.909
D,17487.287
D,17125.499
D,16925.080
D,16668.844
D,14316.136
D,14994.170
D,14044.542
D,14603.722
D,13573.920
D,14949.544
D,16668.666
D,15542.553
D,15996.742
D,15398.152
D,17273.495
D,13871.573
D,15308.068
D,21780.012
D,21126.435
D,21791.973
D,21383.203
D,21836.283
D,22012.456
D,18777.831
D,19217.009
D,3689.827
D,13146.299
D,14181.762
D,14071.789
D,10916.883
D,10619.821
D,11323.615
D,11859.431
D,11205.159
D,7745.165
D,8827.698
