State,DL_bitrate
D,4414.793
D,12713.268
D,19478.574
D,31450.396
D,50004.234
D,32401.147
D,26811.585
D,35012.514
D,28266.481
D,39056.953
D,34942.976
D,33048.852
D,32580.784
D,32299.722
D,32119.284
D,35638.851
D,37725.770
D,35527.469
D,36668.917
D,39216.166
D,38333.485
D,35908.892
D,34385.566
D,50182.939
D,48152.526
D,35226.577
D,51264.964
D,48894.003
D,47012.620
D,8088.937
D,6631.004
D,22632.890
D,28133.669
D,24464.819
D,29383.265
D,35871.916
D,36174.445
D,35469.791
D,37902.634
D,35676.745
D,34693.378
D,37098.424
D,28290.704
D,26138.442
D,26997.013
D,28699.504
D,35347.865
D,36926.722
D,34380.131
D,28643.436
D,21586.008
D,20981.752
D,24691.826
D,32762.215
D,29498.282
D,32811.439
D,30387.062
D,25294.867
D,24282.489
D,25275.209
