State,DL_bitrate
D,657.847
D,1925.628
D,1756.246
D,2035.766
D,2023.585
D,1791.805
D,1793.283
D,1900.557
D,2157.059
D,2244.497
D,1883.552
D,2104.401
D,1690.069
D,1903.008
D,1625.539
D,1692.347
D,2102.981
D,2016.126
D,2135.811
D,1917.597
D,2252.157
D,1873.166
D,1887.284
D,1947.827
D,1760.152
D,1969.303
D,1246.613
D,466.357
D,461.584
D,465.181
D,978.467
D,2221.207
D,2311.263
D,1938.313
D,2246.084
D,1915.505
D,2203.434
D,2109.135
D,2050.744
D,2098.671
D,2172.537
D,1855.232
D,1928.509
D,2207.400
D,2048.263
D,2229.722
D,2150.774
D,1870.363
D,2134.607
D,1997.837
D,2042.337
D,1847.120
D,1727.984
D,1807.097
D,1648.432
D,1725.097
D,1798.075
D,1684.827
D,1890.350
D,1913.617
