State,DL_bitrate
D,2739.950
D,10993.862
D,13042.801
D,14403.765
D,7989.327
D,1914.502
D,24416.179
D,27356.414
D,25031.880
D,15866.574
D,8004.902
D,1839.623
D,32328.234
D,33144.427
D,31062.121
D,26589.581
D,7397.173
D,1960.562
D,40485.965
D,21794.540
D,24085.707
D,15860.183
D,7361.055
D,1847.443
D,31277.793
D,35839.405
D,34508.304
D,26801.673
D,7754.732
D,1779.111
D,45301.522
D,37880.323
D,38269.007
D,31929.333
D,7925.457
D,2115.288
D,45399.151
D,50476.662
D,38690.815
D,30835.759
D,8581.302
D,1808.872
D,57332.474
D,49088.933
D,35998.034
D,28719.333
D,8520.526
D,1994.683
D,57801.865
D,53479.077
D,64766.743
D,29709.566
D,7126.576
D,1801.363
D,47154.622
D,46280.239
D,34191.275
D,24987.189
D,6751.798
D,1859.006
