State,DL_bitrate
D,3588.309
D,14457.079
D,30821.019
D,51332.213
D,77388.359
D,72472.647
D,160756.642
D,161546.614
D,142637.345
D,165658.191
D,158887.005
D,168308.680
D,157639.568
D,157338.511
D,142892.601
D,144015.508
D,160201.033
D,163732.647
D,156772.588
D,137641.868
D,166928.537
D,141866.672
D,148026.650
D,152911.982
D,162926.387
D,138902.151
D,138930.463
D,149144.863
D,157216.581
D,144261.931
D,145907.923
D,145868.155
D,169779.005
D,145173.749
D,156934.022
D,137797.231
D,161442.111
D,165181.089
D,141061.205
D,149692.428
D,165909.946
D,145319.600
D,175195.433
D,152750.446
D,157536.531
D,146297.152
D,174251.054
D,140085.488
D,160644.670
D,140664.586
D,143741.869
D,164653.565
D,148363.335
D,163287.464
D,152250.006
D,151095.741
D,147237.412
D,159425.236
D,149878.230
D,142761.386
