State,DL_bitrate
D,1291.436
D,1738.516
D,2327.136
D,2446.122
D,1589.561
D,1448.252
D,1897.170
D,6797.985
D,7122.459
D,5420.336
D,5703.636
D,2851.803
D,5834.345
D,4703.950
D,3172.811
D,4943.860
D,3832.471
D,2827.488
D,3981.181
D,4287.683
D,2942.209
D,2808.736
D,630.418
D,2637.422
D,3897.596
D,2677.078
D,4476.138
D,4870.405
D,5236.787
D,3014.146
D,5433.535
D,5008.998
D,5856.251
D,5321.438
D,5290.877
D,2665.561
D,5322.103
D,6798.476
D,7573.173
D,7406.682
D,5305.913
D,3201.974
D,8758.686
D,3930.886
D,6758.852
D,6187.571
D,6091.594
D,3253.918
D,5209.191
D,5234.116
D,5230.628
D,6459.081
D,5667.816
D,3002.538
D,2962.471
D,6477.269
D,6954.912
D,5671.112
D,6090.648
D,2663.895
