State,DL_bitrate
D,28.813
D,2868.001
D,3171.932
D,2963.296
D,2958.571
D,2800.514
D,2556.605
D,2573.180
D,2597.233
D,2644.501
D,2926.175
D,2971.004
D,2726.320
D,2961.195
D,2920.695
D,2551.684
D,2801.182
D,2870.572
D,2873.134
D,2704.881
D,2573.383
D,2638.179
D,2608.441
D,3006.369
D,2811.978
D,2527.032
D,2491.907
D,2737.290
D,2566.117
D,2661.483
D,2670.903
D,2877.561
D,2815.380
D,2894.374
D,2816.331
D,2651.566
D,2899.601
D,2991.136
D,2719.542
D,2796.717
D,2940.019
D,3039.553
D,3122.874
D,3078.215
D,2912.799
D,3232.193
D,2752.106
D,3347.019
D,3292.038
D,3167.297
D,2814.088
D,2661.530
D,2890.963
D,2659.268
D,2722.104
D,2961.266
D,2805.247
D,3129.415
D,2826.370
D,3214.485
