State,DL_bitrate
D,457.133
D,539.272
D,573.870
D,479.619
D,582.359
D,928.151
D,1483.172
D,1314.940
D,1424.764
D,1528.236
D,1368.829
D,1278.492
D,99.561
D,463.664
D,476.026
D,952.531
D,1472.114
D,1402.678
D,1341.076
D,1338.919
D,1423.853
D,1397.921
D,942.827
D,889.979
D,899.012
D,968.208
D,972.657
D,970.029
D,919.149
D,971.972
D,1003.974
D,986.824
D,959.807
D,968.385
D,928.186
D,949.801
D,129.171
D,293.297
D,272.963
D,125.576
D,152.948
D,429.336
D,279.040
D,157.215
D,153.193
D,416.145
D,151.962
D,54.477
D,2883.080
D,3188.484
D,2987.879
D,3198.759
D,2812.089
D,2679.311
D,2732.960
D,2678.759
D,2765.219
D,3187.753
D,2715.504
D,2729.079
