State,DL_bitrate
D,5008.520
D,15216.625
D,26024.308
D,49930.236
D,73776.884
D,71626.699
D,73314.510
D,9409.538
D,26097.440
D,25087.795
D,49792.505
D,74518.883
D,74722.607
D,76291.763
D,72367.029
D,75310.702
D,83274.517
D,149711.528
D,139744.001
D,155030.946
D,136222.362
D,140517.129
D,162546.139
D,133866.940
D,163590.107
D,151656.911
D,141543.580
D,163929.883
D,152217.116
D,144095.783
D,142334.524
D,144584.608
D,139352.968
D,163326.164
D,161903.948
D,136967.464
D,150134.361
D,144142.812
D,152496.999
D,167824.748
D,142888.384
D,174371.134
D,142971.227
D,156973.886
D,170084.811
D,142545.813
D,170687.408
D,157514.832
D,151531.632
D,158792.631
D,163724.674
D,144943.840
D,145967.293
D,155864.167
D,151726.089
D,155412.032
D,140315.198
D,172004.245
D,155171.163
D,151263.523
