State,DL_bitrate
D,5799.736
D,17070.293
D,25076.134
D,23256.048
D,10533.181
D,3087.699
D,120526.549
D,158406.953
D,93035.477
D,41872.544
D,10623.997
D,2612.115
D,105594.806
D,134969.361
D,98458.501
D,41887.050
D,11713.131
D,2787.800
D,110131.990
D,150963.816
D,95825.208
D,42339.531
D,9972.146
D,2985.060
D,113587.906
D,144348.219
D,89977.554
D,40896.905
D,11114.959
D,3129.398
D,114143.186
D,76682.909
D,95765.108
D,45926.468
D,12351.336
D,3170.460
D,108212.319
D,143126.624
D,113351.936
D,47669.246
D,10924.190
D,3137.875
D,127147.644
D,143858.046
D,98690.236
D,42412.900
D,11555.624
D,2848.124
D,125111.651
D,82177.632
D,98531.935
D,40889.798
D,12007.832
D,3183.253
D,112629.789
D,73977.681
D,104690.818
D,49420.216
D,10868.902
D,2951.596
