State,DL_bitrate
D,5085.720
D,13642.115
D,25362.015
D,51317.248
D,76339.913
D,72649.903
D,149150.031
D,159766.061
D,160621.194
D,150506.879
D,148922.648
D,137389.008
D,162592.221
D,162728.249
D,148742.858
D,139397.949
D,172188.027
D,173704.441
D,146020.470
D,145781.950
D,163535.488
D,140950.311
D,140072.306
D,140750.105
D,143314.220
D,81706.244
D,158987.610
D,170042.066
D,172351.313
D,158509.151
D,163374.686
D,174295.625
D,162405.906
D,155344.003
D,160971.401
D,169570.923
D,163584.354
D,76579.479
