State,DL_bitrate
D,700.449
D,2160.553
D,2219.621
D,1905.085
D,1949.429
D,1861.986
D,2274.917
D,2322.932
D,2415.731
D,2020.714
D,2125.629
D,2074.327
D,2286.938
D,2257.118
D,1985.068
D,2315.770
D,2026.299
D,2147.911
D,2525.665
D,2085.729
D,2514.613
D,2341.038
D,2058.979
D,2333.713
D,2100.780
D,2366.188
D,2246.815
D,2073.501
D,2118.304
D,1986.985
D,2267.099
D,1974.768
D,2373.064
D,2308.395
D,2208.741
D,2199.864
D,2599.332
D,2304.949
D,2005.865
D,2043.651
D,1966.674
D,2212.029
D,2082.518
D,2070.724
D,2187.405
D,2475.088
D,2084.589
D,2381.485
D,2252.726
D,2140.211
D,2015.845
D,2264.345
D,2310.733
D,2145.118
D,2246.334
D,2338.500
D,2407.762
D,2296.736
D,2058.729
D,2137.814
