State,DL_bitrate
D,5801.797
D,14982.004
D,14514.699
D,15909.689
D,8048.556
D,2166.168
D,7226.897
D,13934.972
D,14209.974
D,17994.378
D,8107.367
D,2375.557
D,17314.087
D,15843.024
D,17260.314
D,17114.398
D,9000.783
D,2049.293
D,16613.333
D,14980.009
D,15595.153
D,17047.527
D,7710.500
D,1915.883
D,15862.012
D,19719.206
D,48505.966
D,34371.881
D,9426.560
D,1960.124
D,51391.029
D,49301.591
D,47436.175
D,35780.173
D,10164.215
D,2632.415
D,44695.955
D,40229.799
D,42273.219
D,31287.947
D,8185.258
D,1801.291
D,46447.892
D,34512.949
D,30581.727
D,18810.324
D,9028.240
D,2257.639
D,10174.805
D,15977.723
D,17446.299
D,12428.096
D,9534.135
D,2024.095
D,18772.113
D,18872.079
D,18782.137
D,12940.528
D,9434.297
D,2206.484
