State,DL_bitrate
D,1193.836
D,1238.808
D,1399.461
D,1838.806
D,2757.080
D,2518.361
D,2804.006
D,1479.013
D,1998.954
D,1990.009
D,3355.531
D,3524.572
D,3189.769
D,2753.173
D,3471.292
D,4151.394
D,4731.743
D,4586.240
D,3998.662
D,3679.355
D,4894.786
D,3964.341
D,3585.660
D,3155.431
D,4344.490
D,4825.682
D,4774.062
D,3286.987
D,2729.325
D,3499.405
D,4793.816
D,1553.612
D,323.637
D,322.885
D,325.116
D,322.910
D,322.161
D,323.608
D,324.659
D,323.048
D,323.057
D,324.528
D,323.699
D,324.287
D,323.051
D,323.908
D,324.176
D,323.765
D,324.158
D,323.525
D,324.077
D,323.152
D,323.211
D,325.621
D,322.475
D,323.434
D,323.935
D,324.741
D,325.307
D,326.198
