State,DL_bitrate
D,127.495
D,1949.261
D,1985.534
D,1867.155
D,1885.106
D,2310.930
D,1990.919
D,2227.154
D,2287.773
D,1977.743
D,1994.562
D,2041.146
D,2240.160
D,2046.299
D,2120.825
D,1988.223
D,2013.588
D,2214.786
D,2254.819
D,2452.886
D,2272.032
D,2407.517
D,2156.255
D,2102.910
D,2199.633
D,2297.342
D,2238.990
D,2310.116
D,2130.202
D,2288.018
D,1940.547
D,2104.307
D,2131.642
D,2138.230
D,2325.347
D,2420.759
D,2587.296
D,2195.215
D,2355.709
D,2119.654
D,1916.892
D,2138.223
D,2221.279
D,1953.557
D,2449.976
D,2041.340
D,2010.766
D,2381.647
D,2138.261
D,2216.310
D,2153.302
D,2368.232
D,2354.201
D,2131.176
D,2261.737
D,2181.331
D,2312.515
D,2126.126
D,2173.226
D,1961.951
