State,DL_bitrate
D,5798.103
D,18408.736
D,29971.169
D,19044.695
D,8598.307
D,1856.089
D,30977.840
D,28667.836
D,29944.903
D,18279.981
D,9093.146
D,2352.638
D,31866.537
D,36085.516
D,28256.134
D,33604.400
D,7987.694
D,2133.558
D,22199.255
D,22575.520
D,43371.558
D,32821.211
D,8090.939
D,1949.917
D,41122.102
D,15352.769
D,13770.742
D,13040.849
D,7705.331
D,2301.666
D,6851.515
D,16213.482
D,22401.834
D,18913.742
D,9551.739
D,2635.763
D,32627.903
D,41656.388
D,31057.530
D,30381.942
D,7380.465
D,1829.588
D,47226.705
D,50904.927
D,45367.297
D,38931.951
D,8824.365
D,2214.145
D,61647.689
D,41564.221
D,51450.977
D,33908.912
D,8586.602
D,2262.698
D,49728.570
D,48232.194
D,43130.718
D,33109.321
D,8594.201
D,2149.998
