State,DL_bitrate
D,2966.791
D,7410.660
D,10215.937
D,10077.389
D,9837.074
D,9774.785
D,9210.167
D,9518.651
D,10412.059
D,10091.268
D,10026.451
D,6878.321
D,5868.393
D,5957.207
D,1831.390
D,9655.412
D,10117.741
D,9721.113
D,10179.097
D,9565.842
D,9234.269
D,10021.280
D,9446.262
D,10428.737
D,9699.847
D,9874.189
D,10436.490
D,10531.490
D,10012.676
D,14553.081
D,14730.968
D,15162.041
D,15814.001
D,15315.931
D,15884.197
D,15594.538
D,15062.644
D,15787.657
D,14544.997
D,14044.156
D,14779.642
D,16764.122
D,15834.572
D,15284.837
D,14247.602
D,15220.999
D,16004.702
D,15533.207
D,16052.176
D,12866.873
D,10132.453
D,10143.275
D,9896.514
D,10500.171
D,11050.599
D,10187.500
D,14929.495
D,10034.025
D,10103.644
D,9981.705
