State,DL_bitrate
D,668.346
D,1922.201
D,2160.378
D,1870.423
D,2163.208
D,2239.597
D,1932.405
D,2247.821
D,2041.033
D,1935.026
D,2131.073
D,2017.023
D,1931.545
D,1878.157
D,2039.526
D,2016.519
D,2214.437
D,2006.660
D,2201.729
D,1826.131
D,2107.573
D,2167.198
D,1838.634
D,2041.964
D,2111.374
D,1830.380
D,2120.117
D,1879.415
D,1970.129
D,2002.533
D,1899.437
D,2176.399
D,1847.496
D,1957.037
D,1946.081
D,1940.292
D,1907.482
D,2027.409
D,2181.769
D,1984.105
D,2274.090
D,2322.859
D,2197.558
D,1897.393
D,2006.033
D,2334.085
D,2282.031
D,2187.425
D,1905.715
D,2109.717
D,1928.305
D,2002.475
D,2299.398
D,1976.834
D,2294.738
D,2206.612
D,1919.919
D,2131.950
D,2269.422
D,2135.681
