State,DL_bitrate
D,4805.279
D,13908.003
D,15631.160
D,15284.103
D,7160.528
D,1845.966
D,20286.693
D,19038.348
D,7048.278
D,7314.109
D,7546.423
D,2086.404
D,19516.103
D,19317.795
D,7375.704
D,7159.515
D,3484.803
D,2070.344
D,4185.835
D,5540.910
D,5837.784
D,5973.210
D,3765.728
D,2106.206
D,3821.467
D,4715.668
D,4172.176
D,6189.600
D,3793.893
D,1851.086
D,4131.976
D,25157.623
D,22903.701
D,14768.895
D,525.916
D,2076.999
D,19605.017
D,19426.340
D,22996.259
D,16930.686
D,8256.755
D,1922.345
D,25422.909
D,24787.742
D,23246.988
D,15422.326
D,8653.521
D,2166.453
D,24508.513
D,26181.731
D,23002.844
D,14922.087
D,8012.386
D,1959.441
D,23830.532
D,24848.048
D,24348.690
D,15694.024
D,7584.794
D,1954.264
