State,DL_bitrate
D,4838.477
D,13723.847
D,21342.654
D,32041.955
D,7262.234
D,1955.500
D,47153.039
D,46862.226
D,34366.570
D,29476.397
D,8708.946
D,2046.649
D,47179.767
D,46434.208
D,61863.793
D,28537.772
D,7647.855
D,1875.399
D,69373.042
D,48021.322
D,36245.480
D,33266.486
D,8358.343
D,2177.973
D,70103.945
D,48936.798
D,68557.021
D,28025.881
D,7962.762
D,2028.500
D,71271.784
D,52964.735
D,61464.486
D,31929.863
D,7019.364
D,2087.209
D,46891.902
D,54168.285
D,69369.597
D,28128.058
D,7509.381
D,1978.383
D,69708.661
D,49799.835
D,33837.988
D,28514.657
D,8376.276
D,1885.467
D,51654.703
D,50418.947
D,33416.110
D,31662.189
D,549.888
D,1940.622
D,50173.378
D,51557.231
D,34444.334
D,33508.368
D,8543.265
D,1901.062
