State,DL_bitrate
D,657.424
D,2186.371
D,2098.585
D,2253.633
D,1932.384
D,1837.026
D,2027.713
D,2156.582
D,2173.440
D,2164.626
D,2273.782
D,2118.369
D,2101.535
D,1846.657
D,2110.092
D,1882.800
D,2255.963
D,1863.918
D,2198.208
D,1994.279
D,2073.226
D,1885.025
D,2052.415
D,2259.907
D,1847.796
D,2055.606
D,1982.022
D,2121.104
D,2063.941
D,1854.115
D,2125.404
D,2237.094
D,2054.598
D,1953.190
D,2041.359
D,2244.734
D,2130.912
D,2242.581
D,2112.234
D,1889.420
D,2136.697
D,2021.888
D,2038.149
D,1859.140
D,2244.834
D,2180.186
D,2264.940
D,2169.983
D,2277.018
D,2066.964
D,2180.353
D,2262.232
D,1966.585
D,1909.873
D,1974.068
D,1925.996
D,1898.957
D,1879.936
D,1892.807
D,1987.230
