State,DL_bitrate
D,1349.447
D,7047.571
D,9975.267
D,13805.923
D,31603.911
D,29701.229
D,29712.092
D,30120.809
D,32153.030
D,33469.932
D,31217.863
D,30364.733
D,29253.702
D,27507.557
D,33066.313
D,26665.936
D,31325.677
D,30153.861
D,27725.321
D,32817.662
D,29768.238
D,31853.273
D,31653.993
D,30448.479
D,30134.393
D,28780.367
D,29211.253
D,28882.122
D,33554.134
D,29226.493
D,29305.556
D,31602.155
D,31604.110
D,31412.343
D,31516.619
D,31864.154
D,28166.663
D,27420.229
D,28590.394
D,29831.778
D,34504.448
D,28730.558
D,27853.548
D,32152.912
D,28032.442
D,28448.265
D,31365.649
D,32716.312
D,29682.648
D,34643.432
D,33519.809
D,32424.206
D,33864.189
D,28187.003
D,31633.645
D,31604.901
D,32151.026
D,31721.303
D,29453.203
D,34686.450
