State,DL_bitrate
D,627.832
D,1957.617
D,1759.901
D,1784.654
D,1919.935
D,2118.251
D,1795.635
D,1990.526
D,2155.249
D,2261.738
D,1811.118
D,1894.265
D,1740.378
D,1597.438
D,1621.555
D,1749.247
D,1899.678
D,2252.220
D,2219.291
D,1837.704
D,2155.607
D,1942.761
D,1881.591
D,1907.746
D,1776.629
D,1890.419
D,1743.696
D,1796.535
D,1985.600
D,1815.219
D,2156.813
D,2299.222
D,2113.802
D,2291.076
D,2097.516
D,1933.879
D,2179.273
D,1868.306
D,1840.959
D,1872.172
D,1824.474
D,1809.572
D,1874.922
D,2215.687
D,2062.498
D,2033.942
D,1999.279
D,2136.041
D,1944.698
D,1902.022
D,1800.123
D,1754.172
D,1776.119
D,1888.525
D,1702.626
D,1877.400
D,1959.893
D,1813.000
D,1774.058
D,1703.526
