State,DL_bitrate
D,1643.490
D,4810.000
D,4273.945
D,2547.350
D,3243.975
D,6218.002
D,6718.596
D,5805.067
D,5480.155
D,7579.255
D,9358.478
D,7368.245
D,5498.680
D,7871.948
D,8659.915
D,7793.447
D,7661.314
D,7557.126
D,8215.721
D,8608.641
D,9345.584
D,5816.078
D,6213.486
D,8823.802
D,8623.986
D,9920.107
D,10552.126
D,9982.297
D,9234.648
D,9634.793
D,10797.760
D,11559.006
D,12640.118
D,11835.489
D,11506.861
D,11440.371
D,2416.653
D,12013.931
D,10715.417
D,10139.207
D,9755.685
D,9492.543
D,10164.312
D,10816.883
D,9830.559
D,10263.649
D,10829.236
D,11227.994
D,10708.935
D,7337.115
D,3578.489
D,1776.593
D,5973.512
D,7567.501
D,7200.774
D,6895.356
D,8072.241
D,9494.673
D,10885.349
D,11804.158
