State,DL_bitrate
D,5124.658
D,14131.878
D,22274.338
D,26236.985
D,7787.065
D,1967.573
D,89443.791
D,108218.698
D,70803.710
D,29260.076
D,8160.074
D,2048.942
D,78809.929
D,90271.044
D,63356.126
D,28572.191
D,7188.914
D,2158.593
D,84248.467
D,118397.877
D,71079.522
D,31740.537
D,8300.341
D,1743.450
D,89306.022
D,97166.718
D,75803.069
D,28511.885
D,6822.884
D,1796.145
D,89632.666
D,57920.830
D,76919.559
D,37566.637
D,7677.870
D,1865.052
D,87361.055
D,59729.192
D,73886.359
D,30932.206
D,7831.816
D,1983.647
D,84387.571
D,58236.764
D,65669.024
D,30401.860
D,7993.874
D,1893.263
D,88030.101
D,59863.413
D,68868.892
D,32156.555
D,6903.426
D,1822.410
D,74101.239
D,100727.372
D,63525.372
D,30123.786
D,7745.308
D,1906.505
