State,DL_bitrate
D,68.330
D,70.271
D,105.283
D,1901.012
D,2012.234
D,1757.076
D,2069.569
D,1972.670
D,2034.357
D,1898.971
D,2013.004
D,1719.370
D,1809.477
D,1951.729
D,1793.718
D,1918.786
D,2122.449
D,1858.251
D,1808.682
D,1956.585
D,2007.365
D,1887.005
D,1936.390
D,2033.258
D,1764.237
D,1780.886
D,1980.926
D,1766.997
D,1883.286
D,1748.132
D,1782.368
D,2205.267
D,2333.389
D,2158.708
D,1904.968
D,1879.768
D,2167.618
D,1822.079
D,1806.399
D,1941.441
D,1802.331
D,1933.776
D,2002.274
D,1936.339
D,1886.859
D,1871.518
D,2109.043
D,1948.377
D,1951.249
D,2105.830
D,1951.508
D,1908.466
D,1702.295
D,1964.067
D,1873.446
D,1799.793
D,1769.617
D,1758.204
D,1978.164
D,1940.535
