State,DL_bitrate
D,587.149
D,1822.436
D,1955.836
D,1924.906
D,1773.930
D,2138.575
D,2049.261
D,2148.565
D,2250.576
D,1832.350
D,2032.066
D,1797.130
D,1820.559
D,1744.644
D,1726.469
D,1792.931
D,2082.224
D,2080.992
D,1858.355
D,2056.447
D,1892.542
D,2152.298
D,1773.466
D,2022.707
D,1741.999
D,1770.178
D,1824.094
D,2030.179
D,1769.862
D,2028.957
D,2190.491
D,2073.580
D,2071.787
D,2045.940
D,1892.069
D,2195.895
D,2190.222
D,2237.414
D,2004.737
D,1825.868
D,1921.055
D,1906.405
D,2032.412
D,1841.002
D,1845.132
D,2089.632
D,1885.556
D,2215.452
D,2181.736
D,1840.197
D,2127.024
D,1673.519
D,1918.336
D,1637.891
D,1910.072
D,1935.441
D,1941.344
D,1736.564
D,1920.622
D,1736.086
