State,DL_bitrate
D,5157.599
D,14271.706
D,14784.805
D,4721.400
D,3435.359
D,1844.814
D,6718.444
D,15681.242
D,15339.620
D,15208.184
D,7260.909
D,1915.929
D,16847.294
D,15726.487
D,14485.045
D,15051.457
D,7501.880
D,2021.603
D,15390.766
D,17357.557
D,17143.672
D,14353.086
D,6960.148
D,1664.109
D,16657.278
D,14854.773
D,17430.461
D,12988.609
D,6575.161
D,1968.554
D,24836.587
D,24673.886
D,38699.417
D,31543.977
D,9151.867
D,1909.126
D,58058.793
D,52105.499
D,35146.251
D,28932.481
D,8037.087
D,2102.021
D,57040.864
D,51881.518
D,35804.949
D,32132.541
D,8630.023
D,2263.539
D,56354.428
D,54734.484
D,35787.416
D,26341.882
D,7348.297
D,1794.789
D,52368.280
D,46915.846
D,31682.252
D,25604.371
D,6839.849
D,1985.943
