State,DL_bitrate
D,4992.371
D,13291.918
D,14869.557
D,13652.433
D,11422.549
D,2628.487
D,19159.594
D,19169.814
D,17463.202
D,14463.177
D,5294.112
D,2775.763
D,7947.234
D,12418.690
D,16602.033
D,14699.889
D,10159.710
D,2816.908
D,19336.305
D,20937.420
D,20159.971
D,22202.183
D,11836.808
D,2949.500
D,22572.819
D,24301.089
D,25786.533
D,19288.989
D,10244.104
D,3000.325
D,6844.250
D,24927.484
D,26841.651
D,23680.359
D,12092.984
D,2647.266
D,13777.424
D,14030.936
D,14458.177
D,14826.331
D,12645.756
D,2793.351
D,15980.905
D,21877.339
D,21510.826
D,23810.036
D,11065.824
D,2836.109
D,28129.692
D,25536.938
D,26124.033
D,22428.613
D,11808.070
D,2913.918
D,22577.800
D,22330.475
D,25346.348
D,20966.201
D,11474.302
D,2671.634
