State,DL_bitrate
D,942.447
D,2815.804
D,2669.310
D,3120.262
D,2787.608
D,2884.919
D,2970.747
D,3002.541
D,2585.160
D,2579.558
D,3077.587
D,3148.825
D,3135.462
D,2906.313
D,2708.088
D,3147.235
D,3049.504
D,2714.754
D,2614.230
D,2875.863
D,2991.465
D,2888.763
D,2598.682
D,2852.440
D,3023.004
D,2595.450
D,2523.739
D,2735.162
D,2649.336
D,2903.534
D,2695.460
D,2971.831
D,2728.261
D,2912.145
D,2886.943
D,2700.670
D,3236.792
D,2879.957
D,3009.277
D,2922.794
D,2881.362
D,3250.942
D,2750.042
D,2903.010
D,2983.556
D,2671.289
D,3076.934
D,2881.522
D,2929.790
D,3079.046
D,2700.420
D,2779.972
D,2689.721
D,3217.990
D,202.053
D,3028.261
D,3172.712
D,2850.257
D,2841.742
D,3124.375
