State,DL_bitrate
D,1005.268
D,2935.619
D,2717.691
D,3078.067
D,2680.121
D,2664.088
D,2574.280
D,3009.919
D,2938.355
D,2976.917
D,2821.073
D,2554.695
D,2895.973
D,3119.965
D,2777.475
D,2629.229
D,2882.436
D,3150.817
D,2586.182
D,3147.614
D,2922.824
D,2630.235
D,2558.503
D,2845.176
D,2646.816
D,2965.253
D,2952.093
D,2986.742
D,2734.124
D,2581.974
D,3134.184
D,2678.967
D,2997.615
D,2731.067
D,2651.122
D,2795.701
D,2769.459
D,2713.312
D,3093.853
D,3015.282
D,3127.185
D,3136.394
D,2884.519
D,2676.726
D,3142.265
D,2746.789
D,3246.129
D,2817.723
D,3306.684
D,2646.151
D,3006.264
D,2999.484
D,3224.963
D,2982.147
D,2759.662
D,2768.193
D,2809.762
D,2645.279
D,2959.768
D,3101.351
