State,DL_bitrate
D,5711.813
D,14535.147
D,14264.756
D,14041.777
D,11389.498
D,2620.792
D,14605.344
D,14765.577
D,13031.474
D,11025.151
D,10039.669
D,3125.669
D,14217.801
D,14980.944
D,14834.772
D,14588.561
D,11393.395
D,2961.355
D,15682.597
D,14882.835
D,14667.750
D,14887.871
D,10344.414
D,2718.531
D,15769.748
D,6965.958
D,14118.868
D,13789.938
D,12067.218
D,2703.777
D,14568.439
D,15425.109
D,12595.529
D,10682.620
D,11758.548
D,2642.202
D,14148.634
D,13973.285
D,14354.522
D,14882.756
D,12605.418
D,2757.330
D,16083.403
D,14257.884
D,13203.773
D,14734.330
D,11616.059
D,3156.831
D,15077.759
D,9255.266
D,4792.360
D,12028.948
D,12043.570
D,2830.479
D,12021.880
D,16913.504
D,15235.109
D,16286.650
D,11497.193
D,2995.985
