State,DL_bitrate
D,930.989
D,2642.455
D,2690.701
D,2930.687
D,2718.948
D,2608.719
D,3143.533
D,2542.763
D,2814.303
D,3020.782
D,2679.885
D,2633.339
D,2892.654
D,2700.097
D,2641.240
D,2742.727
D,2615.868
D,2728.772
D,2762.816
D,2873.559
D,3051.382
D,2589.151
D,2676.985
D,2498.272
D,2817.884
D,2545.980
D,2711.866
D,2610.864
D,2886.332
D,3091.369
D,2825.445
D,2627.802
D,2659.249
D,2826.381
D,2903.344
D,2636.037
D,2820.758
D,2771.038
D,2708.917
D,2827.405
D,2982.760
D,3199.974
D,3075.210
D,3304.791
D,3111.102
D,2701.202
D,2954.957
D,3257.449
D,3043.598
D,3173.356
D,2897.806
D,2904.910
D,3205.273
D,3067.770
D,2895.640
D,3039.552
D,2822.129
D,3068.980
D,2781.156
D,2696.189
