State,DL_bitrate
D,556.971
D,10996.348
D,14103.941
D,15044.514
D,14069.803
D,15162.957
D,14250.927
D,20502.371
D,14275.150
D,14826.412
D,21168.901
D,14952.730
D,15830.282
D,21382.990
D,21562.708
D,15423.686
D,15426.955
D,14915.248
D,14477.683
D,13872.088
D,20573.403
D,20716.092
D,14614.080
D,20562.913
D,14402.332
D,19817.503
D,20608.497
D,19744.048
D,21084.691
D,14697.670
D,15107.545
D,14185.632
D,14654.133
D,20732.278
D,15349.164
D,14799.442
D,15435.570
D,14817.368
D,15823.829
D,15797.663
D,15146.895
D,14971.489
D,14954.770
D,14865.662
D,14332.335
D,20767.423
D,14801.425
D,15054.559
D,14729.041
D,15674.375
D,15875.469
D,14951.352
D,14727.895
D,21106.154
D,20486.285
D,15220.467
D,15068.984
D,14385.746
D,4435.437
D,4567.880
