State,DL_bitrate
D,3975.719
D,17588.622
D,21747.191
D,21548.418
D,25415.522
D,58256.140
D,51228.494
D,61446.420
D,113015.183
D,119948.768
D,133155.274
D,126885.300
D,128942.946
D,120500.990
D,220344.241
D,129084.262
D,129757.836
D,116463.257
D,118943.138
D,109852.105
D,114057.383
D,121657.287
D,120922.088
D,120585.648
D,119259.748
D,104273.750
D,110825.933
D,124129.648
D,127824.912
D,129785.364
D,124011.322
D,116462.719
D,131211.814
D,124989.468
D,212599.970
D,127657.565
D,123876.703
D,125936.625
