# C:\Users\Nima\AppData\Local\Programs\Python\Python313\python.exe -u compare.py
====================================================================================================
BASELINE vs LSTM vs DQN comparison
trace: C:\Users\Nima\PointCloudStreaming\bandwidth_5g\static_B_2020.01.16_10.43.34.csv | frames: all
====================================================================================================
--- DASH-PC Point Cloud Streaming Simulation ---

[Session] User via edge-1 - Buffer: 5.0s capacity, 1.0s min, 30.0 FPS target
====================================================================================================
[User] Frame   0: ✅ Rep 5 (density=14057, size= 3639) | DL=5.99s | BW=0.0Mbps | Buffer: 🔴 0.03s (critical) ⏳ INITIAL BUFFER
[User] Frame   1: ✅ Rep 5 (density=14171, size= 3659) | DL=0.07s | BW=133.0Mbps | Buffer: 🔴 0.07s (critical) ⏳ INITIAL BUFFER
[User] Frame   2: ✅ Rep 5 (density=14304, size= 3678) | DL=0.08s | BW=168.8Mbps | Buffer: 🔴 0.10s (critical) ⏳ INITIAL BUFFER
[User] Frame   3: ✅ Rep 5 (density=14474, size= 3720) | DL=0.07s | BW=168.8Mbps | Buffer: 🔴 0.13s (critical) ⏳ INITIAL BUFFER
[User] Frame   4: ✅ Rep 5 (density=14703, size= 3700) | DL=0.07s | BW=168.8Mbps | Buffer: 🔴 0.17s (critical) ⏳ INITIAL BUFFER
[User] Frame   5: ✅ Rep 5 (density=14681, size= 3741) | DL=0.08s | BW=168.8Mbps | Buffer: 🔴 0.20s (critical) ⏳ INITIAL BUFFER
[User] Frame   6: ✅ Rep 5 (density=14728, size= 3753) | DL=0.08s | BW=168.8Mbps | Buffer: 🔴 0.23s (critical) ⏳ INITIAL BUFFER
[User] Frame   7: ✅ Rep 5 (density=14625, size= 3734) | DL=0.08s | BW=168.8Mbps | Buffer: 🔴 0.27s (critical) ⏳ INITIAL BUFFER
[User] Frame   8: ✅ Rep 5 (density=14536, size= 3714) | DL=0.08s | BW=168.8Mbps | Buffer: 🔴 0.30s (critical) ⏳ INITIAL BUFFER
[User] Frame   9: ✅ Rep 5 (density=14561, size= 3658) | DL=0.06s | BW=168.8Mbps | Buffer: 🔴 0.33s (critical) ⏳ INITIAL BUFFER
[User] Frame  10: ✅ Rep 5 (density=14721, size= 3721) | DL=0.08s | BW=168.8Mbps | Buffer: 🔴 0.37s (critical) ⏳ INITIAL BUFFER
[User] Frame  11: ✅ Rep 5 (density=14520, size= 3677) | DL=0.07s | BW=168.8Mbps | Buffer: 🔴 0.40s (critical) ⏳ INITIAL BUFFER
[User] Frame  12: ✅ Rep 5 (density=14468, size= 3703) | DL=0.08s | BW=168.8Mbps | Buffer: 🔴 0.43s (critical) ⏳ INITIAL BUFFER
[User] Frame  13: ✅ Rep 5 (density=14497, size= 3723) | DL=0.08s | BW=168.8Mbps | Buffer: 🔴 0.47s (critical) ⏳ INITIAL BUFFER
[User] Frame  14: ✅ Rep 5 (density=14553, size= 3736) | DL=0.07s | BW=168.8Mbps | Buffer: 🔴 0.50s (critical) ⏳ INITIAL BUFFER
[User] Frame  15: ✅ Rep 5 (density=14502, size= 3684) | DL=0.07s | BW=160.5Mbps | Buffer: 🟡 0.53s (low) ⏳ INITIAL BUFFER
[User] Frame  16: ✅ Rep 5 (density=14527, size= 3734) | DL=0.07s | BW=160.5Mbps | Buffer: 🟡 0.57s (low) ⏳ INITIAL BUFFER
[User] Frame  17: ✅ Rep 5 (density=14527, size= 3724) | DL=0.06s | BW=160.5Mbps | Buffer: 🟡 0.60s (low) ⏳ INITIAL BUFFER
[User] Frame  18: ✅ Rep 5 (density=14575, size= 3722) | DL=0.08s | BW=160.5Mbps | Buffer: 🟡 0.63s (low) ⏳ INITIAL BUFFER
