# C:\Users\Nima\AppData\Local\Programs\Python\Python313\python.exe -u C:\Users\Nima\PointCloudStreaming\train_dqn.py --out C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260710_083943_full\sweep\trial_017_s42\abr_dqn.pkl --run-dir C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260710_083943_full\sweep\trial_017_s42 --coverage-stride 60 --epochs 8 --eval-every 100 --lam 1.0 --lr 0.0001 --mu 4.3 --reward-spec {"stall_mode": "bounded", "stall_cap_s": 2.0, "event_penalty": 2.0} --seed 42 --select-by qoe_quality --target-update 3000
==========================================================================================
🤖 DQN ABR training
   sequences: ['longdress', 'loot', 'redandblack', 'soldier'] | eval sequence: longdress
   train files: 4 | test files: 1 | frames/episode: 300
   coverage stride: 60 samples -> 199 episodes/epoch x 8 epochs = 1592 episodes (~477600 env steps)
   state_dim: 23 | actions: 6 | feature_spec: ['lstm_pred', 'buffer', 'last_rep_onehot', 'tput_last', 'tput_mean', 'tput_std', 'rep_bitrates', 'rep_densities']
   reward: q[log_density] - 4.3*min(stall,2.0) + 2.0*new_event - 1.0*|dq|  (gamma=0.99, lr=0.0001, reward_norm=True, reward_scale=1.0)
   select-by: qoe_quality | out: C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260710_083943_full\sweep\trial_017_s42\abr_dqn.pkl | run-dir: C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260710_083943_full\sweep\trial_017_s42
==========================================================================================
[eval @ ep 0] untrained: reward=-38.92 qoe=0.0 qoe_q=-140.8
[ep    1] longdress    static_B_2020.02.13_13.57.29.csv@78    reward=  -70.67 qoe=   0.0 qoe_q= -182.1 eps=0.999 loss=0.1851
[ep    2] loot         static_B_2020.02.27_18.39.27.csv@2448  reward=  -31.23 qoe=   0.0 qoe_q= -118.3 eps=0.998 loss=0.1597
[ep    3] redandblack  static_B_2020.02.13_13.57.29.csv@378   reward=  -68.32 qoe=   0.0 qoe_q= -191.5 eps=0.997 loss=0.1504
[ep    4] soldier      static_B_2019.12.16_13.40.04.csv@1262  reward=  -82.86 qoe=   0.0 qoe_q= -163.3 eps=0.996 loss=0.1559
[ep    5] longdress    static_B_2020.02.27_18.39.27.csv@3768  reward=  -44.94 qoe=   0.0 qoe_q= -168.3 eps=0.995 loss=0.1626
[ep    6] loot         static_B_2020.02.27_18.39.27.csv@3888  reward=  -31.53 qoe=   0.0 qoe_q= -146.0 eps=0.994 loss=0.1558
[ep    7] redandblack  static_B_2020.02.27_18.39.27.csv@2028  reward=  -17.21 qoe=   0.0 qoe_q= -120.0 eps=0.993 loss=0.1601
[ep    8] soldier      static_B_2020.02.27_18.39.27.csv@828   reward=  -35.09 qoe=   0.0 qoe_q= -111.8 eps=0.992 loss=0.1573
[ep    9] longdress    static_B_2020.02.13_13.57.29.csv@2945  reward=  -39.61 qoe=   0.0 qoe_q= -147.7 eps=0.991 loss=0.1513
[ep   10] loot         static_B_2020.02.27_18.39.27.csv@1488  reward=  -29.28 qoe=   0.0 qoe_q= -151.6 eps=0.990 loss=0.1467
[ep   11] redandblack  static_B_2019.12.16_13.40.04.csv@1022  reward=  -30.07 qoe=   0.0 qoe_q= -108.7 eps=0.989 loss=0.1614
[ep   12] soldier      static_B_2020.02.27_18.39.27.csv@3708  reward=  -13.45 qoe=   0.0 qoe_q=  -98.8 eps=0.988 loss=0.1556
[ep   13] longdress    static_B_2020.02.27_18.39.27.csv@5742  reward=  -23.85 qoe=   0.0 qoe_q= -140.8 eps=0.987 loss=0.1540
[ep   14] loot         static_B_2020.02.27_18.39.27.csv@2628  reward=  -56.70 qoe=   0.0 qoe_q= -256.4 eps=0.986 loss=0.1414
[ep   15] redandblack  static_B_2020.02.27_18.39.27.csv@5742  reward=  -38.18 qoe=   0.0 qoe_q= -162.7 eps=0.985 loss=0.1610
[ep   16] soldier      static_B_2020.02.27_18.39.27.csv@1248  reward=   -3.82 qoe=   0.0 qoe_q=  -87.5 eps=0.984 loss=0.1554
[ep   17] longdress    static_B_2020.02.27_18.39.27.csv@2328  reward= -257.85 qoe=   0.0 qoe_q= -553.8 eps=0.983 loss=0.1581
[ep   18] loot         static_B_2020.02.27_18.39.27.csv@288   reward=  -50.09 qoe=   0.0 qoe_q= -123.9 eps=0.982 loss=0.1632
[ep   19] redandblack  static_B_2019.12.16_13.40.04.csv@302   reward=  -83.35 qoe=   0.0 qoe_q= -177.9 eps=0.981 loss=0.1500
[ep   20] soldier      static_B_2020.02.27_18.39.27.csv@4548  reward=  -42.15 qoe=   0.0 qoe_q= -111.8 eps=0.980 loss=0.1562
[ep   21] longdress    static_B_2020.02.27_18.39.27.csv@4608  reward=  -63.87 qoe=   0.0 qoe_q= -137.5 eps=0.979 loss=0.1640
[ep   22] loot         static_B_2020.02.13_13.57.29.csv@1278  reward=  -49.40 qoe=   0.0 qoe_q= -128.2 eps=0.978 loss=0.1635
[ep   23] redandblack  static_B_2020.02.27_18.39.27.csv@1788  reward= -190.22 qoe=   0.0 qoe_q= -547.8 eps=0.977 loss=0.1580
[ep   24] soldier      static_B_2020.02.13_13.57.29.csv@1518  reward=  -90.41 qoe=   0.0 qoe_q= -162.7 eps=0.976 loss=0.1710
[ep   25] longdress    static_B_2020.02.27_18.39.27.csv@468   reward=  -24.72 qoe=   0.0 qoe_q= -101.4 eps=0.975 loss=0.1753
[ep   26] loot         static_B_2020.02.27_18.39.27.csv@768   reward=  -16.96 qoe=   0.0 qoe_q= -120.0 eps=0.974 loss=0.1704
[ep   27] redandblack  static_B_2020.02.27_18.39.27.csv@108   reward=  -43.08 qoe=   0.0 qoe_q= -157.6 eps=0.973 loss=0.1667
[ep   28] soldier      static_B_2019.12.16_13.40.04.csv@1802  reward=  -65.83 qoe=   0.0 qoe_q= -157.9 eps=0.972 loss=0.1602
[ep   29] longdress    static_B_2020.02.13_13.57.29.csv@2718  reward=  -72.85 qoe=   0.0 qoe_q= -144.2 eps=0.971 loss=0.1761
[ep   30] loot         static_B_2020.02.27_18.39.27.csv@1188  reward=  -39.55 qoe=   0.0 qoe_q= -156.0 eps=0.970 loss=0.1664
[ep   31] redandblack  static_B_2020.02.13_13.57.29.csv@2298  reward=  -51.91 qoe=   0.0 qoe_q= -123.4 eps=0.969 loss=0.1649
[ep   32] soldier      static_B_2020.02.27_18.39.27.csv@48    reward=   13.67 qoe=   0.0 qoe_q=  -79.4 eps=0.968 loss=0.1619
[ep   33] longdress    static_B_2020.02.14_13.21.26.csv@764   reward=   -5.47 qoe=   0.0 qoe_q=  -92.8 eps=0.967 loss=0.1643
[ep   34] loot         static_B_2019.12.16_13.40.04.csv@542   reward=  -25.64 qoe=   0.0 qoe_q= -145.8 eps=0.966 loss=0.1672
[ep   35] redandblack  static_B_2019.12.16_13.40.04.csv@1502  reward=  -29.99 qoe=   0.0 qoe_q= -163.9 eps=0.965 loss=0.1542
[ep   36] soldier      static_B_2019.12.16_13.40.04.csv@1682  reward=  -34.18 qoe=   0.0 qoe_q= -124.0 eps=0.964 loss=0.1511
[ep   37] longdress    static_B_2019.12.16_13.40.04.csv@482   reward=  -22.23 qoe=   0.0 qoe_q= -152.1 eps=0.963 loss=0.1436
[ep   38] loot         static_B_2020.02.27_18.39.27.csv@348   reward=  -25.73 qoe=   0.0 qoe_q= -167.3 eps=0.962 loss=0.1569
[ep   39] redandblack  static_B_2020.02.14_13.21.26.csv@824   reward=  -12.87 qoe=   0.0 qoe_q=  -96.2 eps=0.961 loss=0.1589
[ep   40] soldier      static_B_2020.02.13_13.57.29.csv@1638  reward=  -54.60 qoe=   0.0 qoe_q= -190.0 eps=0.960 loss=0.1621
[ep   41] longdress    static_B_2020.02.13_13.57.29.csv@198   reward=  -60.21 qoe=   0.0 qoe_q= -193.8 eps=0.959 loss=0.1726
[ep   42] loot         static_B_2019.12.16_13.40.04.csv@422   reward=  -43.74 qoe=   0.0 qoe_q= -143.7 eps=0.958 loss=0.1813
[ep   43] redandblack  static_B_2020.02.14_13.21.26.csv@164   reward=  -27.24 qoe=   0.0 qoe_q= -100.9 eps=0.957 loss=0.1659
[ep   44] soldier      static_B_2020.02.13_13.57.29.csv@2238  reward=  -62.47 qoe=   0.0 qoe_q= -198.7 eps=0.956 loss=0.1742
[ep   45] longdress    static_B_2020.02.13_13.57.29.csv@2658  reward=  -29.56 qoe=   0.0 qoe_q= -111.0 eps=0.955 loss=0.1640
[ep   46] loot         static_B_2020.02.27_18.39.27.csv@5148  reward=  -20.33 qoe=   0.0 qoe_q= -120.2 eps=0.954 loss=0.1666
[ep   47] redandblack  static_B_2020.02.13_13.57.29.csv@18    reward=  -26.77 qoe=   0.0 qoe_q= -102.3 eps=0.953 loss=0.1546
[ep   48] soldier      static_B_2020.02.13_13.57.29.csv@858   reward= -117.35 qoe=   0.0 qoe_q= -182.6 eps=0.952 loss=0.1616
[ep   49] longdress    static_B_2019.12.16_13.40.04.csv@62    reward=   -9.33 qoe=   0.0 qoe_q= -107.4 eps=0.951 loss=0.1682
[ep   50] loot         static_B_2020.02.13_13.57.29.csv@1878  reward=  -74.57 qoe=   0.0 qoe_q= -262.5 eps=0.950 loss=0.1586
[ep   51] redandblack  static_B_2020.02.27_18.39.27.csv@1428  reward=  -24.10 qoe=   0.0 qoe_q= -104.9 eps=0.949 loss=0.1760
[ep   52] soldier      static_B_2020.02.27_18.39.27.csv@4908  reward=  -45.15 qoe=   0.0 qoe_q= -159.7 eps=0.948 loss=0.1690
[ep   53] longdress    static_B_2020.02.13_13.57.29.csv@1818  reward=  -35.24 qoe=   0.0 qoe_q= -155.3 eps=0.947 loss=0.1639
[ep   54] loot         static_B_2019.12.16_13.40.04.csv@182   reward=  -23.73 qoe=   0.0 qoe_q= -123.3 eps=0.946 loss=0.1693
[ep   55] redandblack  static_B_2020.02.13_13.57.29.csv@1698  reward=  -46.57 qoe=   0.0 qoe_q= -142.6 eps=0.945 loss=0.1758
[ep   56] soldier      static_B_2020.02.13_13.57.29.csv@1398  reward=  -74.89 qoe=   0.0 qoe_q= -219.5 eps=0.944 loss=0.1655
[ep   57] longdress    static_B_2020.02.13_13.57.29.csv@2418  reward= -143.40 qoe=   0.0 qoe_q= -476.9 eps=0.943 loss=0.1741
[ep   58] loot         static_B_2020.02.13_13.57.29.csv@1938  reward=  -68.78 qoe=   0.0 qoe_q= -235.0 eps=0.942 loss=0.1689
[ep   59] redandblack  static_B_2020.02.27_18.39.27.csv@4788  reward=  -15.39 qoe=   0.0 qoe_q=  -98.1 eps=0.941 loss=0.1667
[ep   60] soldier      static_B_2020.02.14_13.21.26.csv@104   reward=  -13.44 qoe=   0.0 qoe_q= -144.0 eps=0.940 loss=0.1762
[ep   61] longdress    static_B_2020.02.27_18.39.27.csv@2208  reward=  -30.84 qoe=   0.0 qoe_q= -107.9 eps=0.939 loss=0.1730
[ep   62] loot         static_B_2020.02.13_13.57.29.csv@1998  reward=  -14.20 qoe=   0.0 qoe_q= -142.5 eps=0.938 loss=0.1765
[ep   63] redandblack  static_B_2020.02.27_18.39.27.csv@5628  reward=  -14.83 qoe=   0.0 qoe_q= -154.3 eps=0.937 loss=0.1712
[ep   64] soldier      static_B_2020.02.13_13.57.29.csv@258   reward=  -31.51 qoe=   0.0 qoe_q= -115.8 eps=0.936 loss=0.1735
[ep   65] longdress    static_B_2020.02.27_18.39.27.csv@1908  reward=  -31.13 qoe=   0.0 qoe_q= -104.5 eps=0.935 loss=0.1757
[ep   66] loot         static_B_2020.02.27_18.39.27.csv@5448  reward=  -13.57 qoe=   0.0 qoe_q=  -99.1 eps=0.934 loss=0.1807
[ep   67] redandblack  static_B_2020.02.13_13.57.29.csv@2778  reward=  -33.25 qoe=   0.0 qoe_q= -145.4 eps=0.933 loss=0.1792
[ep   68] soldier      static_B_2019.12.16_13.40.04.csv@1322  reward=  -38.61 qoe=   0.0 qoe_q= -128.0 eps=0.932 loss=0.1798
[ep   69] longdress    static_B_2020.02.27_18.39.27.csv@3948  reward=   -8.99 qoe=   0.0 qoe_q=  -95.1 eps=0.931 loss=0.1739
[ep   70] loot         static_B_2019.12.16_13.40.04.csv@1382  reward=  -73.66 qoe=   0.0 qoe_q= -233.7 eps=0.930 loss=0.1763
[ep   71] redandblack  static_B_2019.12.16_13.40.04.csv@362   reward=  -20.55 qoe=   0.0 qoe_q= -109.7 eps=0.929 loss=0.1867
[ep   72] soldier      static_B_2020.02.13_13.57.29.csv@618   reward=  -91.19 qoe=   0.0 qoe_q= -224.7 eps=0.928 loss=0.1887
[ep   73] longdress    static_B_2020.02.13_13.57.29.csv@978   reward= -192.58 qoe=   0.0 qoe_q= -448.0 eps=0.927 loss=0.1938
[ep   74] loot         static_B_2020.02.27_18.39.27.csv@4308  reward=   -2.39 qoe=   0.0 qoe_q=  -90.1 eps=0.926 loss=0.1949
[ep   75] redandblack  static_B_2020.02.13_13.57.29.csv@1098  reward=  -51.41 qoe=   0.0 qoe_q= -127.7 eps=0.925 loss=0.1904
[ep   76] soldier      static_B_2020.02.27_18.39.27.csv@228   reward=  -23.92 qoe=   0.0 qoe_q= -125.2 eps=0.924 loss=0.1918
[ep   77] longdress    static_B_2020.02.27_18.39.27.csv@5688  reward=  -28.49 qoe=   0.0 qoe_q= -107.2 eps=0.923 loss=0.1972
[ep   78] loot         static_B_2020.02.14_13.21.26.csv@344   reward=  -22.51 qoe=   0.0 qoe_q= -105.2 eps=0.922 loss=0.1876
[ep   79] redandblack  static_B_2020.02.27_18.39.27.csv@2268  reward=  -12.86 qoe=   0.0 qoe_q=  -96.8 eps=0.921 loss=0.2006
[ep   80] soldier      static_B_2020.02.27_18.39.27.csv@2508  reward=  -16.66 qoe=   0.0 qoe_q= -105.6 eps=0.920 loss=0.1837
[ep   81] longdress    static_B_2020.02.27_18.39.27.csv@3828  reward=  -67.16 qoe=   0.0 qoe_q= -188.6 eps=0.919 loss=0.1970
[ep   82] loot         static_B_2020.02.13_13.57.29.csv@1038  reward=  -31.12 qoe=   0.0 qoe_q= -111.4 eps=0.918 loss=0.1950
[ep   83] redandblack  static_B_2020.02.27_18.39.27.csv@2988  reward=  -14.79 qoe=   0.0 qoe_q= -126.6 eps=0.917 loss=0.1992
[ep   84] soldier      static_B_2020.02.27_18.39.27.csv@888   reward=  -31.04 qoe=   0.0 qoe_q= -127.2 eps=0.916 loss=0.1947
[ep   85] longdress    static_B_2020.02.27_18.39.27.csv@5508  reward=    0.77 qoe=   0.0 qoe_q= -105.9 eps=0.915 loss=0.2037
[ep   86] loot         static_B_2020.02.27_18.39.27.csv@2748  reward=  -30.21 qoe=   0.0 qoe_q= -110.5 eps=0.914 loss=0.1988
[ep   87] redandblack  static_B_2020.02.13_13.57.29.csv@918   reward=  -77.00 qoe=   0.0 qoe_q= -154.2 eps=0.913 loss=0.2051
[ep   88] soldier      static_B_2020.02.27_18.39.27.csv@5028  reward=  -31.84 qoe=   0.0 qoe_q= -117.1 eps=0.912 loss=0.2005
[ep   89] longdress    static_B_2020.02.13_13.57.29.csv@1458  reward=  -53.71 qoe=   0.0 qoe_q= -132.4 eps=0.911 loss=0.2004
[ep   90] loot         static_B_2020.02.14_13.21.26.csv@284   reward=    1.00 qoe=   0.0 qoe_q=  -86.0 eps=0.910 loss=0.1952
[ep   91] redandblack  static_B_2019.12.16_13.40.04.csv@1904  reward=    9.31 qoe=   0.6 qoe_q=  -82.0 eps=0.909 loss=0.2200
[ep   92] soldier      static_B_2020.02.13_13.57.29.csv@1758  reward=  -74.74 qoe=   0.0 qoe_q= -217.5 eps=0.909 loss=0.2086
