# C:\Users\Nima\AppData\Local\Programs\Python\Python313\python.exe -u C:\Users\Nima\PointCloudStreaming\train_dqn.py --out C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260710_083943_full\sweep\trial_019_s42\abr_dqn.pkl --run-dir C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260710_083943_full\sweep\trial_019_s42 --coverage-stride 60 --epochs 8 --eval-every 100 --lam 1.0 --lr 0.0001 --mu 4.3 --no-lstm-pred --reward-spec {"stall_mode": "bounded", "stall_cap_s": 2.0, "event_penalty": 2.0} --seed 42 --select-by qoe_quality --target-update 3000
==========================================================================================
🤖 DQN ABR training
   sequences: ['longdress', 'loot', 'redandblack', 'soldier'] | eval sequence: longdress
   train files: 4 | test files: 1 | frames/episode: 300
   coverage stride: 60 samples -> 199 episodes/epoch x 8 epochs = 1592 episodes (~477600 env steps)
   state_dim: 22 | actions: 6 | feature_spec: ['buffer', 'last_rep_onehot', 'tput_last', 'tput_mean', 'tput_std', 'rep_bitrates', 'rep_densities']
   reward: q[log_density] - 4.3*min(stall,2.0) + 2.0*new_event - 1.0*|dq|  (gamma=0.99, lr=0.0001, reward_norm=True, reward_scale=1.0)
   select-by: qoe_quality | out: C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260710_083943_full\sweep\trial_019_s42\abr_dqn.pkl | run-dir: C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260710_083943_full\sweep\trial_019_s42
==========================================================================================
[eval @ ep 0] untrained: reward=128.90 qoe=0.0 qoe_q=-31.0
[ep    1] longdress    static_B_2020.02.13_13.57.29.csv@78    reward=  -70.67 qoe=   0.0 qoe_q= -182.1 eps=0.999 loss=0.1923
[ep    2] loot         static_B_2020.02.27_18.39.27.csv@2448  reward=  -31.23 qoe=   0.0 qoe_q= -118.3 eps=0.998 loss=0.1594
[ep    3] redandblack  static_B_2020.02.13_13.57.29.csv@378   reward=  -68.32 qoe=   0.0 qoe_q= -191.5 eps=0.997 loss=0.1509
[ep    4] soldier      static_B_2019.12.16_13.40.04.csv@1262  reward=  -82.86 qoe=   0.0 qoe_q= -163.3 eps=0.996 loss=0.1558
[ep    5] longdress    static_B_2020.02.27_18.39.27.csv@3768  reward=  -44.94 qoe=   0.0 qoe_q= -168.3 eps=0.995 loss=0.1629
[ep    6] loot         static_B_2020.02.27_18.39.27.csv@3888  reward=  -31.64 qoe=   0.0 qoe_q= -147.2 eps=0.994 loss=0.1564
[ep    7] redandblack  static_B_2020.02.27_18.39.27.csv@2028  reward=   -5.97 qoe=   0.0 qoe_q= -110.6 eps=0.993 loss=0.1606
[ep    8] soldier      static_B_2020.02.27_18.39.27.csv@828   reward=  -30.34 qoe=   0.0 qoe_q= -107.2 eps=0.992 loss=0.1518
[ep    9] longdress    static_B_2020.02.13_13.57.29.csv@2945  reward=  -16.47 qoe=   0.0 qoe_q= -134.6 eps=0.991 loss=0.1499
[ep   10] loot         static_B_2020.02.27_18.39.27.csv@1488  reward=  -23.37 qoe=   0.0 qoe_q= -148.9 eps=0.990 loss=0.1535
[ep   11] redandblack  static_B_2019.12.16_13.40.04.csv@1022  reward=  -43.00 qoe=   0.0 qoe_q= -119.1 eps=0.989 loss=0.1578
[ep   12] soldier      static_B_2020.02.27_18.39.27.csv@3708  reward=  -25.54 qoe=   0.0 qoe_q= -105.4 eps=0.988 loss=0.1524
[ep   13] longdress    static_B_2020.02.27_18.39.27.csv@5742  reward=  -33.78 qoe=   0.0 qoe_q= -160.1 eps=0.987 loss=0.1482
[ep   14] loot         static_B_2020.02.27_18.39.27.csv@2628  reward=  -63.73 qoe=   0.0 qoe_q= -240.2 eps=0.986 loss=0.1475
[ep   15] redandblack  static_B_2020.02.27_18.39.27.csv@5742  reward=  -50.92 qoe=   0.0 qoe_q= -169.4 eps=0.985 loss=0.1564
[ep   16] soldier      static_B_2020.02.27_18.39.27.csv@1248  reward=  -32.54 qoe=   0.0 qoe_q= -107.1 eps=0.984 loss=0.1533
[ep   17] longdress    static_B_2020.02.27_18.39.27.csv@2328  reward= -195.87 qoe=   0.0 qoe_q= -531.5 eps=0.983 loss=0.1560
[ep   18] loot         static_B_2020.02.27_18.39.27.csv@288   reward=  -34.54 qoe=   0.0 qoe_q= -110.3 eps=0.982 loss=0.1638
[ep   19] redandblack  static_B_2019.12.16_13.40.04.csv@302   reward=  -97.28 qoe=   0.0 qoe_q= -176.7 eps=0.981 loss=0.1507
[ep   20] soldier      static_B_2020.02.27_18.39.27.csv@4548  reward=  -41.53 qoe=   0.0 qoe_q= -116.7 eps=0.980 loss=0.1640
[ep   21] longdress    static_B_2020.02.27_18.39.27.csv@4608  reward=  -52.32 qoe=   0.0 qoe_q= -124.0 eps=0.979 loss=0.1613
[ep   22] loot         static_B_2020.02.13_13.57.29.csv@1278  reward=  -43.01 qoe=   0.0 qoe_q= -116.1 eps=0.978 loss=0.1630
[ep   23] redandblack  static_B_2020.02.27_18.39.27.csv@1788  reward= -153.03 qoe=   0.0 qoe_q= -526.2 eps=0.977 loss=0.1604
[ep   24] soldier      static_B_2020.02.13_13.57.29.csv@1518  reward= -103.44 qoe=   0.0 qoe_q= -171.3 eps=0.976 loss=0.1730
[ep   25] longdress    static_B_2020.02.27_18.39.27.csv@468   reward=  -24.03 qoe=   0.0 qoe_q= -104.7 eps=0.975 loss=0.1779
[ep   26] loot         static_B_2020.02.27_18.39.27.csv@768   reward=  -26.36 qoe=   0.0 qoe_q= -125.9 eps=0.974 loss=0.1641
[ep   27] redandblack  static_B_2020.02.27_18.39.27.csv@108   reward=  -13.64 qoe=   0.0 qoe_q= -137.7 eps=0.973 loss=0.1682
[ep   28] soldier      static_B_2019.12.16_13.40.04.csv@1802  reward=  -83.16 qoe=   0.0 qoe_q= -172.1 eps=0.972 loss=0.1567
[ep   29] longdress    static_B_2020.02.13_13.57.29.csv@2718  reward=  -55.54 qoe=   0.0 qoe_q= -128.9 eps=0.971 loss=0.1683
[ep   30] loot         static_B_2020.02.27_18.39.27.csv@1188  reward=  -55.15 qoe=   0.0 qoe_q= -331.4 eps=0.970 loss=0.1678
[ep   31] redandblack  static_B_2020.02.13_13.57.29.csv@2298  reward=  -41.87 qoe=   0.0 qoe_q= -116.2 eps=0.969 loss=0.1623
[ep   32] soldier      static_B_2020.02.27_18.39.27.csv@48    reward=  -11.99 qoe=   0.0 qoe_q=  -94.9 eps=0.968 loss=0.1722
[ep   33] longdress    static_B_2020.02.14_13.21.26.csv@764   reward=   -2.08 qoe=   0.0 qoe_q=  -84.0 eps=0.967 loss=0.1665
[ep   34] loot         static_B_2019.12.16_13.40.04.csv@542   reward=  -10.60 qoe=   0.0 qoe_q= -132.8 eps=0.966 loss=0.1665
[ep   35] redandblack  static_B_2019.12.16_13.40.04.csv@1502  reward=  -28.59 qoe=   0.0 qoe_q= -158.0 eps=0.965 loss=0.1628
[ep   36] soldier      static_B_2019.12.16_13.40.04.csv@1682  reward=  -32.68 qoe=   0.0 qoe_q= -121.9 eps=0.964 loss=0.1588
[ep   37] longdress    static_B_2019.12.16_13.40.04.csv@482   reward=  -16.54 qoe=   0.0 qoe_q= -155.1 eps=0.963 loss=0.1597
[ep   38] loot         static_B_2020.02.27_18.39.27.csv@348   reward=  -30.56 qoe=   0.0 qoe_q= -164.7 eps=0.962 loss=0.1552
[ep   39] redandblack  static_B_2020.02.14_13.21.26.csv@824   reward=  -11.44 qoe=   0.0 qoe_q=  -96.3 eps=0.961 loss=0.1544
