# C:\Users\Nima\AppData\Local\Programs\Python\Python313\python.exe -u sweep.py --config configs\training.json --jobs 2 --sweep-dir C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260711_073843_full\sweep
sweep: 24 configs x 2 seed(s) = 48 trials | jobs=2 | select-by=qoe_quality
  dir: C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260711_073843_full\sweep
  [trial 000 seed 42] ok  {'mu': 2.0, 'no-lstm-pred': False, 'segment-frames': 1}
  [trial 000 seed 43] ok  {'mu': 2.0, 'no-lstm-pred': False, 'segment-frames': 1}
  [trial 001 seed 42] ok  {'mu': 2.0, 'no-lstm-pred': False, 'segment-frames': 5}
  [trial 002 seed 42] ok  {'mu': 2.0, 'no-lstm-pred': False, 'segment-frames': 8}
  [trial 001 seed 43] ok  {'mu': 2.0, 'no-lstm-pred': False, 'segment-frames': 5}
  [trial 002 seed 43] ok  {'mu': 2.0, 'no-lstm-pred': False, 'segment-frames': 8}
  [trial 003 seed 42] ok  {'mu': 2.0, 'no-lstm-pred': False, 'segment-frames': 10}
  [trial 003 seed 43] ok  {'mu': 2.0, 'no-lstm-pred': False, 'segment-frames': 10}
  [trial 004 seed 42] ok  {'mu': 2.0, 'no-lstm-pred': False, 'segment-frames': 15}
  [trial 005 seed 42] ok  {'mu': 2.0, 'no-lstm-pred': False, 'segment-frames': 30}
  [trial 004 seed 43] ok  {'mu': 2.0, 'no-lstm-pred': False, 'segment-frames': 15}
  [trial 005 seed 43] ok  {'mu': 2.0, 'no-lstm-pred': False, 'segment-frames': 30}
  [trial 006 seed 42] ok  {'mu': 2.0, 'no-lstm-pred': True, 'segment-frames': 1}
  [trial 007 seed 42] ok  {'mu': 2.0, 'no-lstm-pred': True, 'segment-frames': 5}
  [trial 006 seed 43] ok  {'mu': 2.0, 'no-lstm-pred': True, 'segment-frames': 1}
  [trial 008 seed 42] ok  {'mu': 2.0, 'no-lstm-pred': True, 'segment-frames': 8}
  [trial 007 seed 43] ok  {'mu': 2.0, 'no-lstm-pred': True, 'segment-frames': 5}
  [trial 008 seed 43] ok  {'mu': 2.0, 'no-lstm-pred': True, 'segment-frames': 8}
  [trial 009 seed 42] ok  {'mu': 2.0, 'no-lstm-pred': True, 'segment-frames': 10}
  [trial 010 seed 42] ok  {'mu': 2.0, 'no-lstm-pred': True, 'segment-frames': 15}
  [trial 009 seed 43] ok  {'mu': 2.0, 'no-lstm-pred': True, 'segment-frames': 10}
  [trial 011 seed 42] ok  {'mu': 2.0, 'no-lstm-pred': True, 'segment-frames': 30}
  [trial 010 seed 43] ok  {'mu': 2.0, 'no-lstm-pred': True, 'segment-frames': 15}
  [trial 011 seed 43] ok  {'mu': 2.0, 'no-lstm-pred': True, 'segment-frames': 30}
  [trial 012 seed 42] ok  {'mu': 4.3, 'no-lstm-pred': False, 'segment-frames': 1}
  [trial 013 seed 42] ok  {'mu': 4.3, 'no-lstm-pred': False, 'segment-frames': 5}
  [trial 012 seed 43] ok  {'mu': 4.3, 'no-lstm-pred': False, 'segment-frames': 1}
  [trial 014 seed 42] ok  {'mu': 4.3, 'no-lstm-pred': False, 'segment-frames': 8}
  [trial 013 seed 43] ok  {'mu': 4.3, 'no-lstm-pred': False, 'segment-frames': 5}
  [trial 015 seed 42] ok  {'mu': 4.3, 'no-lstm-pred': False, 'segment-frames': 10}
  [trial 014 seed 43] ok  {'mu': 4.3, 'no-lstm-pred': False, 'segment-frames': 8}
  [trial 016 seed 42] ok  {'mu': 4.3, 'no-lstm-pred': False, 'segment-frames': 15}
  [trial 015 seed 43] ok  {'mu': 4.3, 'no-lstm-pred': False, 'segment-frames': 10}
  [trial 017 seed 42] ok  {'mu': 4.3, 'no-lstm-pred': False, 'segment-frames': 30}
  [trial 016 seed 43] ok  {'mu': 4.3, 'no-lstm-pred': False, 'segment-frames': 15}
  [trial 017 seed 43] ok  {'mu': 4.3, 'no-lstm-pred': False, 'segment-frames': 30}
  [trial 018 seed 42] ok  {'mu': 4.3, 'no-lstm-pred': True, 'segment-frames': 1}
