# C:\Users\Nima\AppData\Local\Programs\Python\Python313\python.exe -u C:\Users\Nima\PointCloudStreaming\train_dqn.py --out C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260711_073843_full\sweep\trial_002_s43\abr_dqn.pkl --run-dir C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260711_073843_full\sweep\trial_002_s43 --coverage-stride 60 --epochs 8 --eval-every 100 --eval-seeds 42,43,44 --lam 1.0 --lr 0.0001 --mu 2.0 --playback-rate-min 0.9 --reward-spec {"stall_mode": "bounded", "stall_cap_s": 2.0, "event_penalty": 2.0} --seed 43 --segment-frames 8 --select-by qoe_quality --target-update 3000
==========================================================================================
🤖 DQN ABR training
   sequences: ['longdress', 'loot', 'redandblack', 'soldier'] | eval sequence: longdress
   train files: 4 | test files: 1 | frames/episode: 300
   coverage stride: 60 samples -> 237 episodes/epoch x 8 epochs = 1896 episodes (~72048 env steps)
   segment: 8 frames/request (38 decisions/episode) | playback-rate-min: 0.9 | eval seeds: [42, 43, 44]
   state_dim: 23 | actions: 6 | feature_spec: ['lstm_pred', 'buffer', 'last_rep_onehot', 'tput_last', 'tput_mean', 'tput_std', 'rep_bitrates', 'rep_densities']
   reward: q[log_density] - 2.0*min(stall,2.0) + 2.0*new_event - 1.0*|dq|  (gamma=0.99, lr=0.0001, reward_norm=True, reward_scale=1.0)
   select-by: qoe_quality | out: C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260711_073843_full\sweep\trial_002_s43\abr_dqn.pkl | run-dir: C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260711_073843_full\sweep\trial_002_s43
==========================================================================================
[eval @ ep 0] untrained: reward=76.67 qoe=25.6 qoe_q=-22.3
[ep    1] longdress    static_B_2020.02.27_18.39.27.csv@5684  reward=  188.92 qoe= 100.0 qoe_q=   54.5 eps=0.999 loss=0.0000
[ep    2] loot         static_B_2019.12.16_13.40.04.csv@1346  reward=  212.18 qoe=  85.1 qoe_q=   54.7 eps=0.998 loss=1.6856
[ep    3] redandblack  static_B_2020.02.13_13.57.29.csv@2374  reward=  142.12 qoe=  14.2 qoe_q=    7.2 eps=0.998 loss=1.5378
[ep    4] soldier      static_B_2020.01.16_10.43.34.csv@3093  reward=  175.81 qoe=  90.0 qoe_q=   48.4 eps=0.997 loss=1.2788
[ep    5] longdress    static_B_2020.02.27_18.39.27.csv@4784  reward=  166.66 qoe=  62.8 qoe_q=   44.0 eps=0.996 loss=1.1161
[ep    6] loot         static_B_2020.02.27_18.39.27.csv@3524  reward=  176.50 qoe=  83.4 qoe_q=   46.0 eps=0.995 loss=0.8404
[ep    7] redandblack  static_B_2020.01.16_10.43.34.csv@1593  reward=  144.30 qoe=  15.4 qoe_q=  -10.5 eps=0.994 loss=0.4421
[ep    8] soldier      static_B_2020.02.13_13.57.29.csv@1234  reward=  170.52 qoe=  78.8 qoe_q=   41.5 eps=0.993 loss=0.1376
[ep    9] longdress    static_B_2020.02.27_18.39.27.csv@4244  reward=  174.80 qoe=  64.1 qoe_q=   31.1 eps=0.993 loss=0.0738
[ep   10] loot         static_B_2020.01.16_10.43.34.csv@1233  reward=  175.87 qoe=  56.0 qoe_q=   46.9 eps=0.992 loss=0.0668
[ep   11] redandblack  static_B_2019.12.16_13.40.04.csv@1826  reward=  163.77 qoe=  42.2 qoe_q=   19.0 eps=0.991 loss=0.0735
[ep   12] soldier      static_B_2020.02.13_13.57.29.csv@2794  reward=  156.53 qoe= 100.0 qoe_q=   37.8 eps=0.990 loss=0.0729
[ep   13] longdress    static_B_2020.01.16_10.43.34.csv@213   reward=  214.18 qoe=  44.0 qoe_q=   63.4 eps=0.989 loss=0.0662
[ep   14] loot         static_B_2020.01.16_10.43.34.csv@1173  reward=  138.75 qoe=  82.7 qoe_q=   29.7 eps=0.988 loss=0.0688
[ep   15] redandblack  static_B_2020.02.27_18.39.27.csv@1004  reward=  184.13 qoe= 100.0 qoe_q=   51.2 eps=0.987 loss=0.0609
[ep   16] soldier      static_B_2020.02.27_18.39.27.csv@824   reward=  162.41 qoe= 100.0 qoe_q=   43.0 eps=0.987 loss=0.0595
[ep   17] longdress    static_B_2020.02.13_13.57.29.csv@2254  reward=  159.26 qoe=   0.0 qoe_q=  -33.3 eps=0.986 loss=0.0576
[ep   18] loot         static_B_2020.01.16_10.43.34.csv@813   reward=  166.98 qoe=   2.0 qoe_q=   46.6 eps=0.985 loss=0.0552
[ep   19] redandblack  static_B_2020.02.27_18.39.27.csv@3884  reward=  174.01 qoe=  11.8 qoe_q=   -3.4 eps=0.984 loss=0.0557
[ep   20] soldier      static_B_2020.02.13_13.57.29.csv@94    reward=  142.49 qoe=  21.7 qoe_q=   -8.0 eps=0.983 loss=0.0604
[ep   21] longdress    static_B_2019.12.16_13.40.04.csv@1586  reward=  162.96 qoe=  60.0 qoe_q=   43.5 eps=0.982 loss=0.0625
[ep   22] loot         static_B_2020.02.27_18.39.27.csv@104   reward=  168.07 qoe=   0.0 qoe_q=   45.7 eps=0.982 loss=0.0623
[ep   23] redandblack  static_B_2020.01.16_10.43.34.csv@1473  reward=  147.28 qoe=  42.3 qoe_q=   12.4 eps=0.981 loss=0.0581
[ep   24] soldier      static_B_2020.02.27_18.39.27.csv@1484  reward=  199.97 qoe= 100.0 qoe_q=   60.8 eps=0.980 loss=0.0645
[ep   25] longdress    static_B_2020.02.27_18.39.27.csv@1244  reward=  173.56 qoe=  46.0 qoe_q=   47.6 eps=0.979 loss=0.0620
[ep   26] loot         static_B_2020.01.16_10.43.34.csv@453   reward=  126.76 qoe=   0.0 qoe_q=    0.2 eps=0.978 loss=0.0583
[ep   27] redandblack  static_B_2020.02.13_13.57.29.csv@1534  reward=  142.97 qoe=   0.0 qoe_q=  -19.7 eps=0.977 loss=0.0596
[ep   28] soldier      static_B_2019.12.16_13.40.04.csv@386   reward=  166.97 qoe=  87.3 qoe_q=   44.2 eps=0.977 loss=0.0649
[ep   29] longdress    static_B_2020.02.27_18.39.27.csv@1664  reward=  175.08 qoe=  67.0 qoe_q=   32.7 eps=0.976 loss=0.0578
[ep   30] loot         static_B_2020.02.13_13.57.29.csv@2194  reward=  170.93 qoe=   0.0 qoe_q=   -5.8 eps=0.975 loss=0.0646
[ep   31] redandblack  static_B_2020.02.27_18.39.27.csv@5742  reward=  133.79 qoe=   4.9 qoe_q=   15.4 eps=0.974 loss=0.0583
[ep   32] soldier      static_B_2019.12.16_13.40.04.csv@806   reward=  158.39 qoe= 100.0 qoe_q=   39.5 eps=0.973 loss=0.0620
