# C:\Users\Nima\AppData\Local\Programs\Python\Python313\python.exe -u C:\Users\Nima\PointCloudStreaming\train_dqn.py --out C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260711_130607_full\sweep\trial_002_s45\abr_dqn.pkl --run-dir C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260711_130607_full\sweep\trial_002_s45 --coverage-stride 60 --epochs 8 --eval-every 100 --eval-seeds 42,43,44 --lam 1.0 --lr 0.0001 --mu 4.3 --no-lstm-pred --playback-rate-min 0.9 --reward-spec {"stall_mode": "bounded", "stall_cap_s": 2.0, "event_penalty": 2.0} --seed 45 --segment-frames 5 --select-by qoe_quality --target-update 3000
==========================================================================================
🤖 DQN ABR training
   sequences: ['longdress', 'loot', 'redandblack', 'soldier'] | eval sequence: longdress
   train files: 4 | test files: 1 | frames/episode: 300
   coverage stride: 60 samples -> 199 episodes/epoch x 8 epochs = 1592 episodes (~95520 env steps)
   segment: 5 frames/request (60 decisions/episode) | playback-rate-min: 0.9 | eval seeds: [42, 43, 44]
   state_dim: 22 | actions: 6 | feature_spec: ['buffer', 'last_rep_onehot', 'tput_last', 'tput_mean', 'tput_std', 'rep_bitrates', 'rep_densities']
   reward: q[log_density] - 4.3*min(stall,2.0) + 2.0*new_event - 1.0*|dq|  (gamma=0.99, lr=0.0001, reward_norm=True, reward_scale=1.0)
   select-by: qoe_quality | out: C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260711_130607_full\sweep\trial_002_s45\abr_dqn.pkl | run-dir: C:\Users\Nima\PointCloudStreaming\logs\train_runs\20260711_130607_full\sweep\trial_002_s45
==========================================================================================
[eval @ ep 0] untrained: reward=255.88 qoe=46.0 qoe_q=84.9
[ep    1] longdress    static_B_2020.02.27_18.39.27.csv@362   reward=  156.58 qoe= 100.0 qoe_q=   34.3 eps=0.999 loss=0.0000
[ep    2] loot         static_B_2019.12.16_13.40.04.csv@1496  reward=  182.92 qoe=  46.0 qoe_q=   48.5 eps=0.998 loss=1.1320
[ep    3] redandblack  static_B_2020.02.13_13.57.29.csv@2524  reward=  195.06 qoe=  82.0 qoe_q=   52.9 eps=0.997 loss=1.0504
[ep    4] soldier      static_B_2020.02.27_18.39.27.csv@3962  reward=  192.23 qoe=  56.0 qoe_q=   51.6 eps=0.996 loss=0.6005
[ep    5] longdress    static_B_2019.12.16_13.40.04.csv@1904  reward=  166.84 qoe=  66.0 qoe_q=   41.7 eps=0.995 loss=0.0877
[ep    6] loot         static_B_2020.02.27_18.39.27.csv@2762  reward=  171.84 qoe=  50.0 qoe_q=   43.6 eps=0.994 loss=0.0179
[ep    7] redandblack  static_B_2020.02.27_18.39.27.csv@302   reward=  138.43 qoe=  49.0 qoe_q=   13.8 eps=0.993 loss=0.0381
[ep    8] soldier      static_B_2019.12.16_13.40.04.csv@716   reward=  150.65 qoe= 100.0 qoe_q=   35.0 eps=0.992 loss=0.0471
[ep    9] longdress    static_B_2020.02.13_13.57.29.csv@1204  reward=  181.20 qoe= 100.0 qoe_q=   44.9 eps=0.991 loss=0.0447
[ep   10] loot         static_B_2019.12.16_13.40.04.csv@1616  reward=  175.21 qoe=  87.2 qoe_q=   42.8 eps=0.990 loss=0.0404
[ep   11] redandblack  static_B_2020.02.27_18.39.27.csv@3842  reward=  133.20 qoe=  76.9 qoe_q=   24.2 eps=0.989 loss=0.0449
[ep   12] soldier      static_B_2020.02.14_13.21.26.csv@685   reward=  192.74 qoe= 100.0 qoe_q=   50.5 eps=0.988 loss=0.0382
[ep   13] longdress    static_B_2020.02.27_18.39.27.csv@1202  reward=  179.53 qoe= 100.0 qoe_q=   43.5 eps=0.987 loss=0.0401
[ep   14] loot         static_B_2020.02.13_13.57.29.csv@2044  reward=  174.86 qoe=  50.0 qoe_q=   42.7 eps=0.986 loss=0.0362
[ep   15] redandblack  static_B_2020.02.27_18.39.27.csv@5742  reward=  176.15 qoe=  70.0 qoe_q=   44.7 eps=0.985 loss=0.0348
[ep   16] soldier      static_B_2020.02.13_13.57.29.csv@1624  reward=  167.17 qoe= 100.0 qoe_q=   39.6 eps=0.984 loss=0.0332
[ep   17] longdress    static_B_2020.02.13_13.57.29.csv@1804  reward=  126.31 qoe=   0.0 qoe_q=  -49.6 eps=0.983 loss=0.0309
[ep   18] loot         static_B_2019.12.16_13.40.04.csv@776   reward=  162.62 qoe=  42.0 qoe_q=   38.6 eps=0.982 loss=0.0409
[ep   19] redandblack  static_B_2020.02.27_18.39.27.csv@5342  reward=  143.66 qoe=  81.4 qoe_q=   29.7 eps=0.981 loss=0.0448
[ep   20] soldier      static_B_2020.02.27_18.39.27.csv@1922  reward=  206.45 qoe= 100.0 qoe_q=   59.2 eps=0.980 loss=0.0404
[ep   21] longdress    static_B_2020.02.13_13.57.29.csv@124   reward=  127.56 qoe=   0.0 qoe_q=  -27.5 eps=0.979 loss=0.0457
[ep   22] loot         static_B_2020.02.14_13.21.26.csv@625   reward=  184.48 qoe=  50.0 qoe_q=   48.3 eps=0.978 loss=0.0540
[ep   23] redandblack  static_B_2020.02.13_13.57.29.csv@2224  reward=  154.59 qoe=  75.4 qoe_q=   31.1 eps=0.977 loss=0.0526
[ep   24] soldier      static_B_2020.02.27_18.39.27.csv@5102  reward=  177.95 qoe=  64.0 qoe_q=   44.8 eps=0.976 loss=0.0520
[ep   25] longdress    static_B_2020.02.27_18.39.27.csv@1802  reward=  117.62 qoe=   0.0 qoe_q=  -36.9 eps=0.975 loss=0.0449
[ep   26] loot         static_B_2020.02.13_13.57.29.csv@1264  reward=   94.59 qoe=  46.1 qoe_q=    3.2 eps=0.974 loss=0.0514
[ep   27] redandblack  static_B_2020.02.27_18.39.27.csv@2402  reward=  169.66 qoe=  68.0 qoe_q=   39.4 eps=0.973 loss=0.0801
[ep   28] soldier      static_B_2020.02.27_18.39.27.csv@2102  reward=  125.79 qoe=  43.4 qoe_q=   14.5 eps=0.972 loss=0.0792
[ep   29] longdress    static_B_2020.02.27_18.39.27.csv@1742  reward=  139.56 qoe=  70.1 qoe_q=   20.1 eps=0.971 loss=0.0715
[ep   30] loot         static_B_2019.12.16_13.40.04.csv@1256  reward=  112.81 qoe=  22.9 qoe_q=   -6.1 eps=0.970 loss=0.0871
[ep   31] redandblack  static_B_2020.02.27_18.39.27.csv@5702  reward=  179.56 qoe= 100.0 qoe_q=   46.2 eps=0.969 loss=0.0896
[ep   32] soldier      static_B_2020.02.27_18.39.27.csv@5642  reward=  159.42 qoe=  64.1 qoe_q=   26.6 eps=0.968 loss=0.0758
[ep   33] longdress    static_B_2020.02.27_18.39.27.csv@2462  reward=  179.09 qoe=  82.0 qoe_q=   45.2 eps=0.967 loss=0.0741
[ep   34] loot         static_B_2019.12.16_13.40.04.csv@896   reward=  175.77 qoe= 100.0 qoe_q=   45.7 eps=0.966 loss=0.0713
[ep   35] redandblack  static_B_2020.02.27_18.39.27.csv@4022  reward=  122.09 qoe=  49.0 qoe_q=   12.6 eps=0.965 loss=0.0717
[ep   36] soldier      static_B_2020.02.27_18.39.27.csv@3182  reward=  164.76 qoe=  80.0 qoe_q=   42.2 eps=0.964 loss=0.0651
[ep   37] longdress    static_B_2020.02.13_13.57.29.csv@2704  reward=  183.02 qoe= 100.0 qoe_q=   46.5 eps=0.963 loss=0.0748
[ep   38] loot         static_B_2020.02.27_18.39.27.csv@1322  reward=  167.38 qoe=  44.0 qoe_q=   41.5 eps=0.962 loss=0.0666
[ep   39] redandblack  static_B_2020.02.27_18.39.27.csv@1442  reward=  127.56 qoe=  81.3 qoe_q=   19.9 eps=0.961 loss=0.0659
[ep   40] soldier      static_B_2020.02.27_18.39.27.csv@662   reward=  137.22 qoe=  42.5 qoe_q=    7.6 eps=0.960 loss=0.0642
[ep   41] longdress    static_B_2020.02.13_13.57.29.csv@1144  reward=   71.73 qoe=   0.0 qoe_q=  -30.4 eps=0.959 loss=0.0681
[ep   42] loot         static_B_2020.02.27_18.39.27.csv@4622  reward=  140.38 qoe=  81.2 qoe_q=   26.7 eps=0.958 loss=0.0872
[ep   43] redandblack  static_B_2019.12.16_13.40.04.csv@116   reward=  163.48 qoe=  58.0 qoe_q=   40.5 eps=0.957 loss=0.0959
