episode,sequence,file,offset,reward,qoe,qoe_quality,epsilon,mean_loss
1,longdress,static_B_2020.02.13_13.57.29.csv,1647,115.2561,0.00,-34.35,0.9992,0.000000
2,loot,static_B_2020.01.16_10.43.34.csv,364,171.7571,26.00,47.11,0.9984,0.963551
3,redandblack,static_B_2020.02.13_13.57.29.csv,1047,127.0155,21.03,18.47,0.9975,0.892752
4,soldier,static_B_2020.01.16_10.43.34.csv,184,150.7859,52.00,37.79,0.9967,0.710086
5,longdress,static_B_2020.01.16_10.43.34.csv,484,161.0627,82.20,39.86,0.9958,0.608776
6,loot,static_B_2020.01.16_10.43.34.csv,2404,149.5357,0.00,40.48,0.9950,0.388757
7,redandblack,static_B_2020.01.16_10.43.34.csv,2824,125.7735,21.13,14.02,0.9942,0.192273
8,soldier,static_B_2020.02.27_18.39.27.csv,1355,188.6436,46.00,54.45,0.9933,0.138633
9,longdress,static_B_2020.02.27_18.39.27.csv,5255,189.2073,82.00,53.95,0.9925,0.114166
10,loot,static_B_2020.02.27_18.39.27.csv,2555,193.7186,47.75,29.03,0.9917,0.112854
11,redandblack,static_B_2020.02.27_18.39.27.csv,1895,181.9451,0.00,51.98,0.9908,0.109052
12,soldier,static_B_2020.02.27_18.39.27.csv,5742,173.5960,44.00,48.20,0.9900,0.096162
13,longdress,static_B_2020.02.27_18.39.27.csv,2135,128.9424,41.64,26.59,0.9892,0.090165
14,loot,static_B_2020.02.27_18.39.27.csv,695,183.6142,64.00,51.61,0.9883,0.109814
15,redandblack,static_B_2020.02.27_18.39.27.csv,1175,87.9092,0.00,-237.68,0.9875,0.117628
16,soldier,static_B_2020.02.13_13.57.29.csv,387,112.0899,0.00,-48.90,0.9867,0.130242
17,longdress,static_B_2020.02.27_18.39.27.csv,1955,160.1682,60.07,27.27,0.9858,0.118381
18,loot,static_B_2020.01.16_10.43.34.csv,3004,135.4392,76.45,30.16,0.9850,0.146522
19,redandblack,static_B_2020.01.16_10.43.34.csv,2224,160.4734,100.00,44.68,0.9842,0.135517
20,soldier,static_B_2020.02.27_18.39.27.csv,755,165.0213,100.00,45.26,0.9833,0.114771
21,longdress,static_B_2020.02.27_18.39.27.csv,1415,159.8795,76.00,45.87,0.9825,0.118087
22,loot,static_B_2020.02.27_18.39.27.csv,4895,39.5016,0.00,-23.77,0.9816,0.129954
23,redandblack,static_B_2019.12.16_13.40.04.csv,1222,150.7402,27.68,18.35,0.9808,0.129871
24,soldier,static_B_2020.02.13_13.57.29.csv,1227,179.9961,46.00,51.69,0.9800,0.120415
25,longdress,static_B_2020.02.27_18.39.27.csv,2495,177.5028,46.00,47.80,0.9791,0.125115
26,loot,static_B_2020.02.27_18.39.27.csv,155,185.2658,0.00,52.00,0.9783,0.119452
27,redandblack,static_B_2020.01.16_10.43.34.csv,664,169.0683,30.00,46.22,0.9775,0.148966
28,soldier,static_B_2020.02.27_18.39.27.csv,1835,105.4851,2.12,-29.76,0.9766,0.127125
29,longdress,static_B_2020.01.16_10.43.34.csv,1024,188.4254,100.00,53.15,0.9758,0.132535
30,loot,static_B_2020.02.13_13.57.29.csv,987,29.0146,0.00,-288.33,0.9750,0.124852
31,redandblack,static_B_2019.12.16_13.40.04.csv,862,170.9130,100.00,47.93,0.9741,0.125922
32,soldier,static_B_2020.02.27_18.39.27.csv,3395,179.7259,50.00,49.98,0.9733,0.127175
33,longdress,static_B_2020.02.27_18.39.27.csv,5315,154.0207,50.00,40.04,0.9725,0.118276
34,loot,static_B_2020.01.16_10.43.34.csv,1384,160.8299,72.52,34.34,0.9716,0.127093
35,redandblack,static_B_2020.01.16_10.43.34.csv,2464,150.2231,0.00,41.17,0.9708,0.121849
36,soldier,static_B_2020.02.13_13.57.29.csv,687,30.1620,0.00,-134.94,0.9700,0.140563
37,longdress,static_B_2020.02.27_18.39.27.csv,1235,180.0455,94.00,51.67,0.9691,0.142392
38,loot,static_B_2020.01.16_10.43.34.csv,1084,183.4895,100.00,53.07,0.9683,0.130529
39,redandblack,static_B_2019.12.16_13.40.04.csv,1102,118.6826,0.00,-76.20,0.9675,0.126424
40,soldier,static_B_2020.01.16_10.43.34.csv,904,147.5242,18.39,14.31,0.9666,0.140777
41,longdress,static_B_2020.02.27_18.39.27.csv,815,192.5300,81.22,52.47,0.9658,0.135667
42,loot,static_B_2020.02.13_13.57.29.csv,2307,104.8571,0.00,4.93,0.9649,0.129931
43,redandblack,static_B_2019.12.16_13.40.04.csv,1642,142.6227,100.00,36.81,0.9641,0.140175
44,soldier,static_B_2020.02.27_18.39.27.csv,2315,194.4232,100.00,55.87,0.9633,0.124163
45,longdress,static_B_2020.01.16_10.43.34.csv,724,178.3648,0.00,50.26,0.9624,0.146197
46,loot,static_B_2020.01.16_10.43.34.csv,424,131.5268,0.00,-43.65,0.9616,0.122755
47,redandblack,static_B_2020.02.27_18.39.27.csv,2015,191.3689,52.10,29.47,0.9608,0.119012
48,soldier,static_B_2020.02.13_13.57.29.csv,1887,189.4953,8.00,57.94,0.9599,0.142976
49,longdress,static_B_2020.02.27_18.39.27.csv,3095,58.7980,0.00,-37.64,0.9591,0.138012
50,loot,static_B_2019.12.16_13.40.04.csv,262,117.2962,75.04,21.09,0.9583,0.127544
51,redandblack,static_B_2020.02.13_13.57.29.csv,1467,153.7425,56.09,29.06,0.9574,0.154202
52,soldier,static_B_2020.01.16_10.43.34.csv,3109,178.1733,100.00,49.19,0.9566,0.126070
53,longdress,static_B_2019.12.16_13.40.04.csv,1882,204.9254,16.00,58.40,0.9558,0.144124
54,loot,static_B_2020.01.16_10.43.34.csv,2524,184.7310,50.00,51.82,0.9549,0.145962
55,redandblack,static_B_2020.02.13_13.57.29.csv,2427,96.7821,0.00,-37.25,0.9541,0.113639
56,soldier,static_B_2020.01.16_10.43.34.csv,124,113.3403,0.00,-19.17,0.9533,0.133618
57,longdress,static_B_2020.02.13_13.57.29.csv,87,106.2478,45.56,4.05,0.9524,0.138607
58,loot,static_B_2020.02.13_13.57.29.csv,927,134.6116,36.76,20.26,0.9516,0.142330
59,redandblack,static_B_2020.01.16_10.43.34.csv,1504,174.4996,68.00,47.99,0.9508,0.140172
60,soldier,static_B_2020.02.27_18.39.27.csv,5075,191.2261,26.00,54.30,0.9499,0.142999
61,longdress,static_B_2020.01.16_10.43.34.csv,2584,160.4541,17.87,17.83,0.9491,0.135690
62,loot,static_B_2020.02.27_18.39.27.csv,5742,141.6708,0.00,22.98,0.9482,0.158898
63,redandblack,static_B_2020.01.16_10.43.34.csv,64,200.3265,94.00,57.49,0.9474,0.132931
64,soldier,static_B_2020.02.27_18.39.27.csv,4595,132.4963,18.33,14.39,0.9466,0.138719
65,longdress,static_B_2020.02.27_18.39.27.csv,2915,135.3256,32.62,25.89,0.9457,0.123160
66,loot,static_B_2020.02.27_18.39.27.csv,1475,158.1493,21.61,2.18,0.9449,0.135927
67,redandblack,static_B_2020.02.27_18.39.27.csv,2075,216.4929,100.00,64.78,0.9441,0.121719
68,soldier,static_B_2020.01.16_10.43.34.csv,2884,72.7105,0.00,-20.32,0.9432,0.132059
69,longdress,static_B_2020.01.16_10.43.34.csv,2644,156.6783,81.12,39.55,0.9424,0.136777
70,loot,static_B_2020.01.16_10.43.34.csv,304,202.7670,0.00,59.49,0.9416,0.137113
71,redandblack,static_B_2020.01.16_10.43.34.csv,2164,207.6160,63.76,57.14,0.9407,0.125374
72,soldier,static_B_2020.02.27_18.39.27.csv,5135,162.6037,8.00,44.91,0.9399,0.122825
73,longdress,static_B_2020.02.27_18.39.27.csv,3215,199.3248,24.00,58.43,0.9391,0.110265
74,loot,static_B_2019.12.16_13.40.04.csv,682,198.4865,26.00,57.21,0.9382,0.122144
75,redandblack,static_B_2020.02.27_18.39.27.csv,4775,127.7340,78.25,27.14,0.9374,0.134433
76,soldier,static_B_2020.02.13_13.57.29.csv,867,112.3887,0.00,-51.38,0.9366,0.156488
77,longdress,static_B_2020.01.16_10.43.34.csv,844,164.0780,72.37,35.68,0.9357,0.122629
78,loot,static_B_2019.12.16_13.40.04.csv,442,172.9560,80.53,44.47,0.9349,0.143747
79,redandblack,static_B_2019.12.16_13.40.04.csv,1822,121.1549,58.88,19.43,0.9340,0.144814
80,soldier,static_B_2020.02.13_13.57.29.csv,507,118.7577,56.13,20.85,0.9332,0.135019
81,longdress,static_B_2020.02.27_18.39.27.csv,4475,142.8358,31.58,20.46,0.9324,0.526873
82,loot,static_B_2020.01.16_10.43.34.csv,2104,135.4230,55.36,20.69,0.9315,0.262685
83,redandblack,static_B_2020.02.27_18.39.27.csv,635,162.0019,26.00,43.55,0.9307,0.231649
84,soldier,static_B_2020.02.27_18.39.27.csv,4235,136.1960,55.70,12.67,0.9299,0.181720
85,longdress,static_B_2020.02.27_18.39.27.csv,3155,146.3479,0.00,-324.14,0.9290,0.182233
86,loot,static_B_2019.12.16_13.40.04.csv,82,189.7513,100.00,52.41,0.9282,0.163527
87,redandblack,static_B_2020.02.27_18.39.27.csv,3515,174.0657,84.45,43.44,0.9274,0.188831
88,soldier,static_B_2020.02.13_13.57.29.csv,2945,170.0490,57.81,20.01,0.9265,0.190430
89,longdress,static_B_2020.02.27_18.39.27.csv,2435,169.0684,54.00,46.49,0.9257,0.198194
90,loot,static_B_2020.02.27_18.39.27.csv,4415,183.6652,94.00,52.22,0.9249,0.199063
91,redandblack,static_B_2020.01.16_10.43.34.csv,1744,180.8263,8.00,51.17,0.9240,0.174571
92,soldier,static_B_2020.02.13_13.57.29.csv,1827,227.0962,62.00,68.76,0.9232,0.200973
93,longdress,static_B_2020.02.13_13.57.29.csv,2487,148.1167,14.85,-3.42,0.9224,0.200456
94,loot,static_B_2020.02.27_18.39.27.csv,5675,217.6550,88.00,67.42,0.9215,0.205132
95,redandblack,static_B_2020.02.27_18.39.27.csv,3755,186.5185,34.00,52.15,0.9207,0.208964
96,soldier,static_B_2020.02.13_13.57.29.csv,1587,122.7737,49.19,13.02,0.9199,0.186917
97,longdress,static_B_2020.02.27_18.39.27.csv,1295,184.5965,100.00,51.18,0.9190,0.168193
98,loot,static_B_2019.12.16_13.40.04.csv,1904,198.9554,0.00,58.38,0.9182,0.192520
99,redandblack,static_B_2020.02.27_18.39.27.csv,4655,100.1792,0.00,-272.80,0.9173,0.191380
100,soldier,static_B_2020.01.16_10.43.34.csv,784,145.5077,60.94,29.24,0.9165,0.189032
101,longdress,static_B_2020.02.13_13.57.29.csv,2847,71.9721,0.00,-30.98,0.9157,0.191813
102,loot,static_B_2020.02.27_18.39.27.csv,3575,127.5402,0.00,-20.13,0.9148,0.218057
103,redandblack,static_B_2019.12.16_13.40.04.csv,922,145.4285,17.53,8.54,0.9140,0.181458
104,soldier,static_B_2020.01.16_10.43.34.csv,2944,127.0005,2.14,11.88,0.9132,0.191706
105,longdress,static_B_2020.02.27_18.39.27.csv,5015,186.4609,70.49,42.97,0.9123,0.204996
106,loot,static_B_2020.02.27_18.39.27.csv,1055,178.0968,100.00,48.59,0.9115,0.198971
107,redandblack,static_B_2020.01.16_10.43.34.csv,4,192.3087,26.00,54.69,0.9107,0.207017
108,soldier,static_B_2019.12.16_13.40.04.csv,802,162.1899,77.45,41.93,0.9098,0.194807
109,longdress,static_B_2020.02.27_18.39.27.csv,3335,199.9868,62.00,57.46,0.9090,0.199168
110,loot,static_B_2020.02.13_13.57.29.csv,2787,138.9495,52.43,18.30,0.9082,0.201350
111,redandblack,static_B_2020.01.16_10.43.34.csv,604,132.6882,0.00,30.73,0.9073,0.187462
112,soldier,static_B_2020.01.16_10.43.34.csv,2284,156.7683,59.60,31.90,0.9065,0.193460
113,longdress,static_B_2020.02.27_18.39.27.csv,5495,181.9080,78.00,50.64,0.9057,0.192418
114,loot,static_B_2020.02.27_18.39.27.csv,1595,145.9993,100.00,34.44,0.9048,0.206622
115,redandblack,static_B_2019.12.16_13.40.04.csv,1042,170.9178,100.00,47.82,0.9040,0.198038
116,soldier,static_B_2019.12.16_13.40.04.csv,742,168.4886,15.60,5.60,0.9031,0.187363
117,longdress,static_B_2019.12.16_13.40.04.csv,982,170.8038,56.00,26.32,0.9023,0.189508
118,loot,static_B_2020.02.27_18.39.27.csv,2975,196.7488,66.84,45.00,0.9015,0.199266
119,redandblack,static_B_2020.02.13_13.57.29.csv,1767,188.9114,0.00,55.49,0.9006,0.187371
120,soldier,static_B_2020.02.27_18.39.27.csv,4295,161.0478,86.27,37.25,0.8998,0.194922
121,longdress,static_B_2019.12.16_13.40.04.csv,1342,142.1892,33.05,17.89,0.8990,0.173473
122,loot,static_B_2019.12.16_13.40.04.csv,1402,191.5936,100.00,55.50,0.8981,0.171099
123,redandblack,static_B_2020.02.13_13.57.29.csv,2367,108.6518,0.00,2.93,0.8973,0.195192
124,soldier,static_B_2020.02.13_13.57.29.csv,1347,147.2658,31.70,22.64,0.8965,0.195646
125,longdress,static_B_2020.02.13_13.57.29.csv,2067,194.9562,14.00,54.93,0.8956,0.183026
126,loot,static_B_2020.02.13_13.57.29.csv,2247,185.8257,82.38,50.41,0.8948,0.194146
127,redandblack,static_B_2020.02.27_18.39.27.csv,3695,208.9557,0.00,62.03,0.8940,0.193521
128,soldier,static_B_2020.02.13_13.57.29.csv,27,184.7891,40.00,53.04,0.8931,0.186713
129,longdress,static_B_2020.01.16_10.43.34.csv,1204,209.2988,100.00,61.04,0.8923,0.188426
130,loot,static_B_2020.01.16_10.43.34.csv,1684,207.5000,0.00,62.28,0.8915,0.194273
131,redandblack,static_B_2019.12.16_13.40.04.csv,322,91.5864,0.00,-27.63,0.8906,0.185623
