episode,sequence,file,offset,reward,qoe,qoe_quality,epsilon,mean_loss
1,longdress,driving_B_2020.01.16_07.26.43.csv,1425,13.7417,100.00,78.93,0.9208,0.000000
2,loot,static_B_2019.12.16_13.40.04.csv,1623,15.0165,100.00,59.92,0.8153,0.000000
3,redandblack,static_B_2020.02.27_18.39.27.csv,2928,14.0205,100.00,57.54,0.7097,0.000000
4,soldier,driving_B_2020.01.16_12.10.03.csv,244,10.8430,100.00,45.90,0.6042,0.000000
5,longdress,static_B_2020.02.14_13.21.26.csv,197,14.4796,100.00,60.71,0.4986,0.000000
6,loot,driving_B_2019.12.17_07.32.39.csv,585,11.9734,100.00,45.15,0.3931,0.000000
7,redandblack,driving_B_2020.01.16_09.56.56.csv,1561,9.6348,100.00,33.92,0.2875,0.000000
8,soldier,static_B_2020.02.27_18.39.27.csv,928,12.0081,100.00,45.28,0.1819,0.000000
9,longdress,driving_B_2020.02.13_13.03.24.csv,1964,-2.7848,100.00,21.48,0.0764,0.000000
10,loot,driving_B_2020.02.13_15.02.01.csv,947,11.7894,100.00,45.58,0.0500,0.000000
11,redandblack,driving_B_2020.02.14_12.58.17.csv,800,9.4801,100.00,33.76,0.0500,0.000000
12,soldier,driving_B_2019.12.16_12.27.05.csv,78,10.9021,100.00,41.26,0.0500,0.000000
13,longdress,static_B_2020.02.27_18.39.27.csv,4928,7.6963,100.00,31.96,0.0500,0.000000
14,loot,driving_B_2020.02.14_09.38.22.csv,757,7.1903,100.00,31.19,0.0500,0.000000
15,redandblack,driving_B_2020.02.27_17.30.15.csv,720,7.9568,100.00,32.24,0.0500,0.000000
