# C:\Users\Nima\AppData\Local\Programs\Python\Python313\python.exe -u C:\Users\Nima\PointCloudStreaming\scripts\train_dqn.py --out C:\Users\Nima\PointCloudStreaming\logs/train_runs/qoe_v2_wide\sweep\confirm\trial_001_s42\abr_dqn.pkl --run-dir C:\Users\Nima\PointCloudStreaming\logs/train_runs/qoe_v2_wide\sweep\confirm\trial_001_s42 --batch-size 64 --coverage-stride 60 --early-stop-patience 3 --epochs 8 --eps-decay-frac 0.5 --eval-every 400 --eval-offsets 3 --eval-seeds 42,43,44 --eval-sequences longdress,loot,redandblack,soldier --gamma 1.0 --hidden 256 --lam 1.0 --lr 0.0003 --mu 4.3 --protocol configs/experiment_protocol.json --reward-spec {"rebuffer_weight": 2.0, "startup_weight": 1.0, "drop_weight": null} --seed 42 --segment-frames 5 --select-by qoe_quality --target-update 6000 --torch-threads 2 --lstm C:\Users\Nima\PointCloudStreaming\models/bandwidth_lstm_s5.pkl
==========================================================================================
🤖 DQN ABR training
   sequences: ['longdress', 'loot', 'redandblack', 'soldier'] | validation sequences: ['longdress', 'loot', 'redandblack', 'soldier']
   protocol: 4071599372abeb61 | train files: 13 | validation files: 4 | registered test files: 4 (NOT evaluated) | frames/episode: 300
   coverage stride: 60 samples -> 417 episodes/epoch x 8 epochs = 3336 episodes (~200160 env steps)
   segment: 5 frames/request (60 decisions/episode) | validation offsets/trace: 3 | validation seeds: [42, 43, 44]
   state_dim: 23 | actions: 6 | feature_spec: ['lstm_pred', 'buffer', 'last_rep_onehot', 'tput_last', 'tput_mean', 'tput_std', 'rep_bitrates', 'rep_densities']
   PyTorch CPU threads/trial: 2
   LSTM: models\bandwidth_lstm_s5.pkl
   reward = QoE: (100/N)*sum(q[fixed_log_bitrate]) - 4.3*stall_duration - 2.0*rebuffer_events - 1.0*sum|delta_segment_q| - (100/N)*dropped_frames - 1.0*startup_delay  (gamma=1.0, lr=0.0003, no learner-side scaling)
   select-by: qoe_quality | out: C:\Users\Nima\PointCloudStreaming\logs/train_runs/qoe_v2_wide\sweep\confirm\trial_001_s42\abr_dqn.pkl | run-dir: C:\Users\Nima\PointCloudStreaming\logs/train_runs/qoe_v2_wide\sweep\confirm\trial_001_s42
==========================================================================================
[validation @ ep 0] untrained: reward=QoE=-10685.92
[ep    1] longdress    driving_B_2020.02.13_15.02.01.csv@803   reward=QoE=   19.21 eps=0.999 loss=0.0000
[ep    2] loot         driving_B_2020.02.14_09.38.22.csv@1478  reward=QoE=  -39.73 eps=0.999 loss=0.3359
[ep    3] redandblack  driving_B_2020.01.16_09.56.56.csv@348   reward=QoE= -104.11 eps=0.998 loss=0.6194
[ep    4] soldier      driving_B_2020.01.16_09.56.56.csv@708   reward=QoE=   28.50 eps=0.998 loss=0.6898
[ep    5] longdress    driving_B_2020.02.13_15.02.01.csv@1763  reward=QoE=   28.87 eps=0.997 loss=0.5387
[ep    6] loot         static_B_2020.02.27_18.39.27.csv@4478  reward=QoE=   26.40 eps=0.997 loss=0.4694
[ep    7] redandblack  driving_B_2020.01.16_07.26.43.csv@1724  reward=QoE=  -43.99 eps=0.996 loss=0.4647
[ep    8] soldier      static_B_2019.12.16_13.40.04.csv@126   reward=QoE=   35.49 eps=0.995 loss=0.4566
[ep    9] longdress    driving_B_2020.01.16_09.56.56.csv@108   reward=QoE= -183.11 eps=0.995 loss=0.5726
[ep   10] loot         static_B_2020.02.27_18.39.27.csv@3278  reward=QoE=   24.79 eps=0.994 loss=0.6413
[ep   11] redandblack  driving_B_2020.02.14_09.38.22.csv@222   reward=QoE= -149.19 eps=0.994 loss=0.6349
[ep   12] soldier      driving_B_2020.02.13_13.03.24.csv@2188  reward=QoE= -257.70 eps=0.993 loss=0.7914
[ep   13] longdress    static_B_2020.02.14_13.21.26.csv@809   reward=QoE=   30.79 eps=0.993 loss=0.8956
[ep   14] loot         driving_B_2020.01.16_07.26.43.csv@1770  reward=QoE= -118.70 eps=0.992 loss=0.8140
[ep   15] redandblack  driving_B_2020.02.13_15.02.01.csv@623   reward=QoE=  -95.90 eps=0.991 loss=0.7829
[ep   16] soldier      driving_B_2019.12.17_07.32.39.csv@558   reward=QoE=  -59.66 eps=0.991 loss=0.7860
[ep   17] longdress    driving_B_2019.12.17_07.32.39.csv@198   reward=QoE=  -53.26 eps=0.990 loss=0.7906
[ep   18] loot         driving_B_2020.01.16_12.10.03.csv@244   reward=QoE=   32.19 eps=0.990 loss=0.7340
[ep   19] redandblack  driving_B_2020.02.13_15.02.01.csv@2754  reward=QoE=  -76.83 eps=0.989 loss=0.7207
[ep   20] soldier      driving_B_2019.12.17_07.32.39.csv@438   reward=QoE=   25.51 eps=0.989 loss=0.6726
[ep   21] longdress    driving_B_2020.01.16_07.26.43.csv@704   reward=QoE=  -19.44 eps=0.988 loss=0.6948
[ep   22] loot         driving_B_2019.12.17_07.32.39.csv@978   reward=QoE= -155.17 eps=0.987 loss=0.6790
[ep   23] redandblack  driving_B_2020.02.27_17.30.15.csv@590   reward=QoE= -202.44 eps=0.987 loss=0.7009
[ep   24] soldier      static_B_2020.02.27_18.39.27.csv@1598  reward=QoE=    9.18 eps=0.986 loss=0.6659
[ep   25] longdress    static_B_2020.02.27_18.39.27.csv@3218  reward=QoE=    4.59 eps=0.986 loss=0.7691
[ep   26] loot         static_B_2020.02.27_18.39.27.csv@2438  reward=QoE=   25.52 eps=0.985 loss=0.6715
[ep   27] redandblack  static_B_2019.12.16_13.40.04.csv@426   reward=QoE=   -7.31 eps=0.985 loss=0.6415
[ep   28] soldier      static_B_2019.12.16_13.40.04.csv@1386  reward=QoE=  -22.94 eps=0.984 loss=0.7155
[ep   29] longdress    driving_B_2020.02.14_12.58.17.csv@284   reward=QoE= -488.43 eps=0.983 loss=0.7605
[ep   30] loot         driving_B_2020.02.14_12.58.17.csv@224   reward=QoE= -605.48 eps=0.983 loss=0.9692
[ep   31] redandblack  driving_B_2020.01.16_09.56.56.csv@468   reward=QoE=    7.46 eps=0.982 loss=1.1395
[ep   32] soldier      driving_B_2019.12.16_12.27.05.csv@1152  reward=QoE=  -38.09 eps=0.982 loss=1.2187
[ep   33] longdress    driving_B_2020.02.13_13.03.24.csv@89    reward=QoE= -131.50 eps=0.981 loss=1.0350
[ep   34] loot         driving_B_2020.01.16_09.56.56.csv@288   reward=QoE=   30.97 eps=0.981 loss=0.9974
[ep   35] redandblack  driving_B_2020.01.16_12.10.03.csv@244   reward=QoE=   44.36 eps=0.980 loss=1.0394
[ep   36] soldier      static_B_2020.02.27_18.39.27.csv@5378  reward=QoE=   35.55 eps=0.980 loss=1.0058
[ep   37] longdress    driving_B_2020.02.13_15.02.01.csv@83    reward=QoE=   34.80 eps=0.979 loss=0.8584
[ep   38] loot         driving_B_2020.02.13_13.03.24.csv@1349  reward=QoE=  -69.63 eps=0.978 loss=0.8885
[ep   39] redandblack  static_B_2020.02.27_18.39.27.csv@1418  reward=QoE=   20.00 eps=0.978 loss=0.9279
[ep   40] soldier      static_B_2020.02.14_13.21.26.csv@569   reward=QoE=   39.75 eps=0.977 loss=0.8589
[ep   41] longdress    driving_B_2019.12.16_12.27.05.csv@242   reward=QoE=  -28.42 eps=0.977 loss=0.8064
[ep   42] loot         static_B_2020.02.27_18.39.27.csv@5138  reward=QoE=   26.07 eps=0.976 loss=0.9459
[ep   43] redandblack  driving_B_2020.02.13_15.02.01.csv@1043  reward=QoE=   37.66 eps=0.976 loss=0.9302
[ep   44] soldier      static_B_2020.02.27_18.39.27.csv@3338  reward=QoE=   18.81 eps=0.975 loss=0.8449
[ep   45] longdress    driving_B_2020.02.13_15.02.01.csv@2423  reward=QoE= -428.07 eps=0.974 loss=0.9119
[ep   46] loot         driving_B_2020.02.14_12.58.17.csv@644   reward=QoE=  -27.04 eps=0.974 loss=1.0056
[ep   47] redandblack  driving_B_2020.02.13_13.03.24.csv@1649  reward=QoE= -120.13 eps=0.973 loss=0.9514
[ep   48] soldier      driving_B_2020.01.16_09.56.56.csv@648   reward=QoE=  -12.05 eps=0.973 loss=0.9268
[ep   49] longdress    driving_B_2020.02.13_15.02.01.csv@503   reward=QoE=  -55.05 eps=0.972 loss=0.8951
[ep   50] loot         driving_B_2020.02.14_12.58.17.csv@464   reward=QoE= -278.88 eps=0.972 loss=1.0042
[ep   51] redandblack  driving_B_2020.02.13_13.03.24.csv@989   reward=QoE= -104.24 eps=0.971 loss=1.0061
[ep   52] soldier      static_B_2019.12.16_13.40.04.csv@1146  reward=QoE= -245.69 eps=0.970 loss=0.9078
[ep   53] longdress    driving_B_2020.01.16_09.56.56.csv@528   reward=QoE=    3.13 eps=0.970 loss=0.9222
[ep   54] loot         driving_B_2019.12.16_12.27.05.csv@842   reward=QoE=   28.39 eps=0.969 loss=0.9251
[ep   55] redandblack  driving_B_2020.01.16_07.26.43.csv@584   reward=QoE=  -67.39 eps=0.969 loss=0.8691
[ep   56] soldier      static_B_2020.02.14_13.21.26.csv@269   reward=QoE=   28.14 eps=0.968 loss=0.9475
[ep   57] longdress    driving_B_2019.12.17_07.32.39.csv@1158  reward=QoE= -108.03 eps=0.968 loss=1.0617
[ep   58] loot         driving_B_2020.01.16_07.26.43.csv@824   reward=QoE=    2.73 eps=0.967 loss=0.9113
[ep   59] redandblack  driving_B_2020.02.14_12.58.17.csv@704   reward=QoE= -198.70 eps=0.966 loss=1.0208
[ep   60] soldier      driving_B_2020.02.13_13.03.24.csv@1949  reward=QoE= -326.05 eps=0.966 loss=0.9808
[ep   61] longdress    static_B_2019.12.16_13.40.04.csv@846   reward=QoE=   32.32 eps=0.965 loss=1.0369
[ep   62] loot         driving_B_2019.12.16_12.27.05.csv@422   reward=QoE= -117.49 eps=0.965 loss=0.9540
[ep   63] redandblack  driving_B_2020.02.13_13.03.24.csv@1409  reward=QoE=  -74.02 eps=0.964 loss=0.9306
[ep   64] soldier      driving_B_2020.02.13_13.03.24.csv@2129  reward=QoE= -530.03 eps=0.964 loss=0.9981
[ep   65] longdress    static_B_2020.02.27_18.39.27.csv@3638  reward=QoE=   30.66 eps=0.963 loss=1.0027
[ep   66] loot         driving_B_2020.02.13_13.03.24.csv@869   reward=QoE= -152.21 eps=0.962 loss=0.9233
[ep   67] redandblack  driving_B_2020.02.14_09.38.22.csv@402   reward=QoE= -130.06 eps=0.962 loss=1.0705
[ep   68] soldier      driving_B_2020.02.13_15.02.01.csv@983   reward=QoE= -107.65 eps=0.961 loss=0.9617
[ep   69] longdress    static_B_2020.02.27_18.39.27.csv@2258  reward=QoE=   29.92 eps=0.961 loss=0.9923
[ep   70] loot         static_B_2020.02.27_18.39.27.csv@5618  reward=QoE=   18.50 eps=0.960 loss=0.9513
[ep   71] redandblack  driving_B_2019.12.16_12.27.05.csv@302   reward=QoE= -108.57 eps=0.960 loss=1.0348
[ep   72] soldier      static_B_2020.02.27_18.39.27.csv@998   reward=QoE=   26.02 eps=0.959 loss=0.8290
[ep   73] longdress    driving_B_2020.02.13_13.03.24.csv@569   reward=QoE= -145.66 eps=0.958 loss=1.0561
[ep   74] loot         driving_B_2019.12.16_12.27.05.csv@602   reward=QoE= -313.14 eps=0.958 loss=0.9443
[ep   75] redandblack  driving_B_2019.12.16_12.27.05.csv@2     reward=QoE=    2.55 eps=0.957 loss=1.1580
[ep   76] soldier      static_B_2020.02.27_18.39.27.csv@1778  reward=QoE= -424.07 eps=0.957 loss=1.0134
[ep   77] longdress    driving_B_2020.02.13_15.02.01.csv@323   reward=QoE=   27.56 eps=0.956 loss=1.1060
[ep   78] loot         driving_B_2020.02.13_15.02.01.csv@1703  reward=QoE=   33.06 eps=0.956 loss=0.9732
[ep   79] redandblack  driving_B_2020.02.13_15.02.01.csv@1163  reward=QoE=   28.39 eps=0.955 loss=1.2303
[ep   80] soldier      static_B_2020.02.27_18.39.27.csv@5678  reward=QoE=   36.84 eps=0.954 loss=1.3156
[ep   81] longdress    driving_B_2020.02.14_09.38.22.csv@342   reward=QoE= -222.16 eps=0.954 loss=1.0163
[ep   82] loot         driving_B_2020.02.14_09.38.22.csv@1362  reward=QoE=   25.74 eps=0.953 loss=1.0773
[ep   83] redandblack  driving_B_2020.02.14_09.38.22.csv@462   reward=QoE=  -47.55 eps=0.953 loss=1.0703
[ep   84] soldier      static_B_2019.12.16_13.40.04.csv@1206  reward=QoE=  -25.84 eps=0.952 loss=1.0352
[ep   85] longdress    driving_B_2020.02.14_09.38.22.csv@882   reward=QoE=   22.86 eps=0.952 loss=0.9934
[ep   86] loot         static_B_2020.02.27_18.39.27.csv@2558  reward=QoE=   24.68 eps=0.951 loss=0.9133
[ep   87] redandblack  static_B_2020.02.27_18.39.27.csv@5738  reward=QoE=   37.62 eps=0.950 loss=0.8996
[ep   88] soldier      driving_B_2020.02.13_13.03.24.csv@929   reward=QoE= -205.54 eps=0.950 loss=1.0328
[ep   89] longdress    driving_B_2020.02.14_09.38.22.csv@1478  reward=QoE=  -94.95 eps=0.949 loss=1.0883
[ep   90] loot         driving_B_2020.02.14_09.38.22.csv@642   reward=QoE=   42.22 eps=0.949 loss=0.9274
[ep   91] redandblack  static_B_2020.02.27_18.39.27.csv@98    reward=QoE=   27.16 eps=0.948 loss=1.1879
[ep   92] soldier      static_B_2020.02.27_18.39.27.csv@1478  reward=QoE=  -16.69 eps=0.948 loss=1.0697
[ep   93] longdress    driving_B_2020.02.13_13.03.24.csv@1889  reward=QoE= -648.75 eps=0.947 loss=0.8874
