episode,sequence,file,offset,reward,qoe,qoe_quality,epsilon,mean_loss
1,longdress,driving_B_2020.01.16_07.26.43.csv,1594,-169.9578,-169.96,-169.96,0.9996,0.000000
2,loot,static_B_2020.02.14_13.21.26.csv,494,36.0340,36.03,36.03,0.9992,0.000000
3,redandblack,static_B_2019.12.16_13.40.04.csv,301,-3.2831,-3.28,-3.28,0.9988,0.000000
4,soldier,driving_B_2020.02.14_09.38.22.csv,324,-154.9159,-154.92,-154.92,0.9984,4.385766
5,longdress,driving_B_2020.02.13_13.03.24.csv,1747,-1.3139,-1.31,-1.31,0.9980,4.717144
6,loot,driving_B_2020.01.16_09.56.56.csv,104,-86.7861,-86.79,-86.79,0.9976,4.449744
7,redandblack,static_B_2020.02.14_13.21.26.csv,314,61.7934,61.79,61.79,0.9972,4.766013
8,soldier,static_B_2020.02.14_13.21.26.csv,194,57.3411,57.34,57.34,0.9968,4.369720
9,longdress,driving_B_2020.01.16_12.10.03.csv,244,51.0856,51.09,51.09,0.9964,4.202653
10,loot,static_B_2020.02.27_18.39.27.csv,5707,26.5822,26.58,26.58,0.9960,3.320105
11,redandblack,static_B_2020.02.27_18.39.27.csv,3367,23.3426,23.34,23.34,0.9955,3.251979
12,soldier,driving_B_2020.02.13_13.03.24.csv,2188,-655.8053,-655.81,-655.81,0.9951,3.118489
13,longdress,driving_B_2019.12.16_12.27.05.csv,686,-60.6938,-60.69,-60.69,0.9947,5.838168
14,loot,driving_B_2019.12.16_12.27.05.csv,1106,6.1712,6.17,6.17,0.9943,6.487309
15,redandblack,driving_B_2020.01.16_07.26.43.csv,1770,-72.8394,-72.84,-72.84,0.9939,5.202826
16,soldier,driving_B_2020.02.13_15.02.01.csv,1571,-531.7012,-531.70,-531.70,0.9935,5.930879
17,longdress,driving_B_2019.12.17_07.32.39.csv,153,-54.4109,-54.41,-54.41,0.9931,6.022685
18,loot,driving_B_2020.02.13_13.03.24.csv,247,-38.3028,-38.30,-38.30,0.9927,7.616079
19,redandblack,static_B_2020.02.27_18.39.27.csv,1627,24.8916,24.89,24.89,0.9923,5.528447
20,soldier,driving_B_2019.12.16_12.27.05.csv,746,42.4854,42.49,42.49,0.9919,5.952640
21,longdress,driving_B_2019.12.16_12.27.05.csv,986,42.5661,42.57,42.57,0.9915,5.535581
22,loot,driving_B_2020.02.13_15.02.01.csv,851,-7.9708,-7.97,-7.97,0.9911,5.256051
23,redandblack,static_B_2020.02.27_18.39.27.csv,5742,28.2722,28.27,28.27,0.9907,5.175209
24,soldier,driving_B_2020.02.14_09.38.22.csv,24,-91.7014,-91.70,-91.70,0.9903,5.569759
25,longdress,driving_B_2020.02.13_15.02.01.csv,1751,5.0970,5.10,5.10,0.9898,4.202007
26,loot,driving_B_2020.02.14_09.38.22.csv,84,-61.7625,-61.76,-61.76,0.9894,3.923650
27,redandblack,driving_B_2019.12.17_07.32.39.csv,2288,32.9977,33.00,33.00,0.9890,4.322600
28,soldier,static_B_2020.02.27_18.39.27.csv,5227,0.1385,0.14,0.14,0.9886,4.446042
29,longdress,driving_B_2020.01.16_09.56.56.csv,704,8.9175,8.92,8.92,0.9882,4.148465
30,loot,driving_B_2020.02.13_15.02.01.csv,2171,26.7292,26.73,26.73,0.9878,4.320471
31,redandblack,driving_B_2020.01.16_09.56.56.csv,1064,-66.4477,-66.45,-66.45,0.9874,4.809929
32,soldier,static_B_2020.02.27_18.39.27.csv,1267,19.6116,19.61,19.61,0.9870,4.749235
33,longdress,driving_B_2020.02.13_13.03.24.csv,367,-94.6590,-94.66,-94.66,0.9866,3.803209
34,loot,static_B_2020.02.27_18.39.27.csv,3907,38.8148,38.81,38.81,0.9862,3.791256
35,redandblack,static_B_2020.02.27_18.39.27.csv,4027,28.4978,28.50,28.50,0.9858,3.983875
36,soldier,driving_B_2020.02.13_13.03.24.csv,487,-106.5875,-106.59,-106.59,0.9854,4.258279
37,longdress,driving_B_2019.12.17_07.32.39.csv,813,-97.3828,-97.38,-97.38,0.9850,4.389294
38,loot,driving_B_2020.02.13_15.02.01.csv,971,-67.7557,-67.76,-67.76,0.9846,3.619162
39,redandblack,driving_B_2020.02.14_09.38.22.csv,1478,-56.9084,-56.91,-56.91,0.9842,3.653019
40,soldier,driving_B_2020.02.13_15.02.01.csv,371,47.2014,47.20,47.20,0.9837,3.821156
41,longdress,driving_B_2020.01.16_09.56.56.csv,884,-72.0693,-72.07,-72.07,0.9833,3.372024
42,loot,driving_B_2020.02.13_15.02.01.csv,2711,-86.3549,-86.35,-86.35,0.9829,2.929752
43,redandblack,driving_B_2020.02.13_13.03.24.csv,187,-83.3749,-83.37,-83.37,0.9825,3.189463
