episode,sequence,file,offset,reward,qoe,qoe_quality,epsilon,mean_loss
1,longdress,driving_B_2020.01.16_07.26.43.csv,1594,-163.8762,-163.88,-163.88,0.9988,0.000000
2,loot,static_B_2020.02.14_13.21.26.csv,494,28.7932,28.79,28.79,0.9975,1.696508
3,redandblack,static_B_2019.12.16_13.40.04.csv,301,-14.4100,-14.41,-14.41,0.9962,1.124722
4,soldier,driving_B_2020.02.14_09.38.22.csv,324,-279.0281,-279.03,-279.03,0.9950,1.445632
5,longdress,driving_B_2020.02.13_13.03.24.csv,1747,-13.1020,-13.10,-13.10,0.9937,1.690807
6,loot,driving_B_2020.01.16_09.56.56.csv,104,-104.4928,-104.49,-104.49,0.9924,1.719172
7,redandblack,static_B_2020.02.14_13.21.26.csv,314,39.9394,39.94,39.94,0.9912,1.424662
8,soldier,static_B_2020.02.14_13.21.26.csv,194,25.4899,25.49,25.49,0.9899,1.328728
9,longdress,driving_B_2020.01.16_12.10.03.csv,244,35.2565,35.26,35.26,0.9886,1.203712
10,loot,static_B_2020.02.27_18.39.27.csv,5707,32.8083,32.81,32.81,0.9874,1.030556
11,redandblack,static_B_2020.02.27_18.39.27.csv,3367,40.7856,40.79,40.79,0.9861,0.889699
12,soldier,driving_B_2020.02.13_13.03.24.csv,2188,-282.5565,-282.56,-282.56,0.9848,1.036013
13,longdress,driving_B_2019.12.16_12.27.05.csv,686,-41.5264,-41.53,-41.53,0.9836,1.172174
14,loot,driving_B_2019.12.16_12.27.05.csv,1106,-43.4931,-43.49,-43.49,0.9823,1.051564
15,redandblack,driving_B_2020.01.16_07.26.43.csv,1770,-118.7347,-118.73,-118.73,0.9810,1.031310
16,soldier,driving_B_2020.02.13_15.02.01.csv,1571,-582.4891,-582.49,-582.49,0.9798,1.447270
17,longdress,driving_B_2019.12.17_07.32.39.csv,153,-72.0320,-72.03,-72.03,0.9785,1.347167
18,loot,driving_B_2020.02.13_13.03.24.csv,247,-66.1961,-66.20,-66.20,0.9772,1.458498
19,redandblack,static_B_2020.02.27_18.39.27.csv,1627,14.0884,14.09,14.09,0.9760,1.320044
20,soldier,driving_B_2019.12.16_12.27.05.csv,746,21.4375,21.44,21.44,0.9747,1.419201
21,longdress,driving_B_2019.12.16_12.27.05.csv,986,36.5719,36.57,36.57,0.9734,1.294954
22,loot,driving_B_2020.02.13_15.02.01.csv,851,-31.7743,-31.77,-31.77,0.9722,1.289956
23,redandblack,static_B_2020.02.27_18.39.27.csv,5742,29.8075,29.81,29.81,0.9709,1.091931
24,soldier,driving_B_2020.02.14_09.38.22.csv,24,-132.1173,-132.12,-132.12,0.9696,1.121391
25,longdress,driving_B_2020.02.13_15.02.01.csv,1751,-9.4727,-9.47,-9.47,0.9684,1.140376
26,loot,driving_B_2020.02.14_09.38.22.csv,84,-65.7986,-65.80,-65.80,0.9671,1.324024
27,redandblack,driving_B_2019.12.17_07.32.39.csv,2288,31.8268,31.83,31.83,0.9658,1.055313
28,soldier,static_B_2020.02.27_18.39.27.csv,5227,-9.5155,-9.52,-9.52,0.9646,1.048428
29,longdress,driving_B_2020.01.16_09.56.56.csv,704,40.1771,40.18,40.18,0.9633,0.976190
30,loot,driving_B_2020.02.13_15.02.01.csv,2171,33.3683,33.37,33.37,0.9621,1.115371
31,redandblack,driving_B_2020.01.16_09.56.56.csv,1064,-60.7023,-60.70,-60.70,0.9608,0.983784
32,soldier,static_B_2020.02.27_18.39.27.csv,1267,30.1317,30.13,30.13,0.9595,0.915143
33,longdress,driving_B_2020.02.13_13.03.24.csv,367,-116.8131,-116.81,-116.81,0.9583,0.865824
34,loot,static_B_2020.02.27_18.39.27.csv,3907,32.2185,32.22,32.22,0.9570,1.110822
35,redandblack,static_B_2020.02.27_18.39.27.csv,4027,11.6583,11.66,11.66,0.9557,0.992788
36,soldier,driving_B_2020.02.13_13.03.24.csv,487,-152.2468,-152.25,-152.25,0.9545,0.884711
37,longdress,driving_B_2019.12.17_07.32.39.csv,813,-137.6627,-137.66,-137.66,0.9532,0.981882
38,loot,driving_B_2020.02.13_15.02.01.csv,971,-10.2282,-10.23,-10.23,0.9519,0.897538
39,redandblack,driving_B_2020.02.14_09.38.22.csv,1478,-39.3449,-39.34,-39.34,0.9507,0.822943
40,soldier,driving_B_2020.02.13_15.02.01.csv,371,28.9095,28.91,28.91,0.9494,0.968881
41,longdress,driving_B_2020.01.16_09.56.56.csv,884,-50.7201,-50.72,-50.72,0.9481,0.905830
42,loot,driving_B_2020.02.13_15.02.01.csv,2711,-84.1870,-84.19,-84.19,0.9469,0.893716
43,redandblack,driving_B_2020.02.13_13.03.24.csv,187,-81.0688,-81.07,-81.07,0.9456,0.816969
44,soldier,driving_B_2020.01.16_07.26.43.csv,274,-34.2572,-34.26,-34.26,0.9443,0.789046
45,longdress,static_B_2020.02.14_13.21.26.csv,254,9.1779,9.18,9.18,0.9431,0.936345
46,loot,driving_B_2019.12.17_07.32.39.csv,1593,-1.3896,-1.39,-1.39,0.9418,0.930119
47,redandblack,driving_B_2019.12.17_07.32.39.csv,393,31.6000,31.60,31.60,0.9405,0.771390
48,soldier,static_B_2019.12.16_13.40.04.csv,1381,-39.2660,-39.27,-39.27,0.9393,0.723934
49,longdress,driving_B_2019.12.17_07.32.39.csv,933,-136.4293,-136.43,-136.43,0.9380,0.873494
50,loot,driving_B_2019.12.17_07.32.39.csv,2288,33.2462,33.25,33.25,0.9367,0.752040
51,redandblack,static_B_2019.12.16_13.40.04.csv,361,-6.8512,-6.85,-6.85,0.9355,0.837562
52,soldier,driving_B_2020.01.16_07.26.43.csv,814,-8.7599,-8.76,-8.76,0.9342,1.108436
53,longdress,driving_B_2020.01.16_07.26.43.csv,1714,-77.8308,-77.83,-77.83,0.9329,0.706542
54,loot,static_B_2020.02.27_18.39.27.csv,2527,24.9987,25.00,25.00,0.9317,0.873359
55,redandblack,driving_B_2019.12.17_07.32.39.csv,1773,-64.7136,-64.71,-64.71,0.9304,0.787139
56,soldier,driving_B_2020.02.27_17.30.15.csv,618,-449.8583,-449.86,-449.86,0.9291,0.792359
57,longdress,static_B_2020.02.27_18.39.27.csv,1087,-51.5769,-51.58,-51.58,0.9279,0.875852
58,loot,driving_B_2020.02.14_12.58.17.csv,314,-338.6748,-338.67,-338.67,0.9266,0.893217
59,redandblack,static_B_2020.02.27_18.39.27.csv,4327,27.5107,27.51,27.51,0.9253,1.015501
60,soldier,driving_B_2019.12.17_07.32.39.csv,1533,-24.5189,-24.52,-24.52,0.9241,0.823651
61,longdress,driving_B_2019.12.17_07.32.39.csv,1953,-17.4661,-17.47,-17.47,0.9228,0.890570
62,loot,driving_B_2020.01.16_09.56.56.csv,584,22.0665,22.07,22.07,0.9216,0.814038
63,redandblack,static_B_2020.02.27_18.39.27.csv,3187,-28.0860,-28.09,-28.09,0.9203,0.870213
64,soldier,driving_B_2020.02.13_13.03.24.csv,1807,-859.3871,-859.39,-859.39,0.9190,1.198015
65,longdress,driving_B_2019.12.16_12.27.05.csv,326,-56.9950,-56.99,-56.99,0.9178,1.146812
66,loot,driving_B_2020.01.16_09.56.56.csv,1424,35.1467,35.15,35.15,0.9165,0.966816
67,redandblack,static_B_2020.02.27_18.39.27.csv,127,46.6567,46.66,46.66,0.9152,0.893653
68,soldier,driving_B_2020.01.16_09.56.56.csv,764,-5.3760,-5.38,-5.38,0.9140,0.853852
69,longdress,driving_B_2020.02.14_09.38.22.csv,444,-4.4764,-4.48,-4.48,0.9127,1.106387
70,loot,driving_B_2020.02.13_15.02.01.csv,911,29.9687,29.97,29.97,0.9114,1.184696
71,redandblack,static_B_2020.02.27_18.39.27.csv,3307,44.6998,44.70,44.70,0.9102,0.926103
72,soldier,driving_B_2019.12.16_12.27.05.csv,866,29.9220,29.92,29.92,0.9089,0.958563
73,longdress,driving_B_2020.02.13_15.02.01.csv,1871,-61.7786,-61.78,-61.78,0.9076,1.014975
74,loot,static_B_2020.02.27_18.39.27.csv,2887,25.6301,25.63,25.63,0.9064,0.764593
75,redandblack,driving_B_2020.02.13_13.03.24.csv,1147,-104.9639,-104.96,-104.96,0.9051,1.070051
76,soldier,static_B_2019.12.16_13.40.04.csv,1861,-295.6337,-295.63,-295.63,0.9038,1.016741
77,longdress,static_B_2020.02.27_18.39.27.csv,3247,37.9840,37.98,37.98,0.9026,1.024915
78,loot,static_B_2020.02.14_13.21.26.csv,14,7.7356,7.74,7.74,0.9013,0.998878
79,redandblack,driving_B_2020.02.13_15.02.01.csv,1631,-184.8914,-184.89,-184.89,0.9000,1.055428
80,soldier,static_B_2020.02.27_18.39.27.csv,1327,40.6139,40.61,40.61,0.8988,1.153318
81,longdress,driving_B_2020.02.13_13.03.24.csv,1987,-278.3210,-278.32,-278.32,0.8975,0.914982
82,loot,static_B_2020.02.27_18.39.27.csv,367,30.2122,30.21,30.21,0.8962,1.017844
83,redandblack,driving_B_2020.02.13_15.02.01.csv,11,28.8181,28.82,28.82,0.8950,1.018375
84,soldier,driving_B_2020.02.13_15.02.01.csv,1811,26.5983,26.60,26.60,0.8937,0.931746
85,longdress,static_B_2020.02.27_18.39.27.csv,4567,16.0057,16.01,16.01,0.8924,0.938283
86,loot,driving_B_2020.02.14_09.38.22.csv,204,-152.2745,-152.27,-152.27,0.8912,0.887196
87,redandblack,driving_B_2020.02.13_13.03.24.csv,1507,-69.8448,-69.84,-69.84,0.8899,0.953771
88,soldier,driving_B_2020.02.14_12.58.17.csv,800,-335.0237,-335.02,-335.02,0.8886,0.861044
89,longdress,driving_B_2019.12.16_12.27.05.csv,926,-9.3393,-9.34,-9.34,0.8874,1.029341
90,loot,static_B_2020.02.27_18.39.27.csv,1387,33.5922,33.59,33.59,0.8861,0.875051
91,redandblack,driving_B_2019.12.17_07.32.39.csv,1113,44.8443,44.84,44.84,0.8848,1.114446
92,soldier,driving_B_2019.12.16_12.27.05.csv,566,-133.6550,-133.66,-133.66,0.8836,1.090101
93,longdress,static_B_2020.02.27_18.39.27.csv,2227,29.0243,29.02,29.02,0.8823,0.913443
94,loot,static_B_2020.02.27_18.39.27.csv,847,51.0357,51.04,51.04,0.8810,0.887126
95,redandblack,driving_B_2020.01.16_07.26.43.csv,34,-24.7261,-24.73,-24.73,0.8798,1.075124
96,soldier,driving_B_2020.02.13_15.02.01.csv,2591,25.3507,25.35,25.35,0.8785,0.855065
97,longdress,static_B_2020.02.27_18.39.27.csv,4927,30.8976,30.90,30.90,0.8773,0.947536
98,loot,driving_B_2020.01.16_09.56.56.csv,824,-62.7662,-62.77,-62.77,0.8760,0.933608
99,redandblack,driving_B_2020.02.13_13.03.24.csv,847,-156.6683,-156.67,-156.67,0.8747,0.964124
100,soldier,driving_B_2020.02.27_17.30.15.csv,720,-681.6192,-681.62,-681.62,0.8735,0.960917
101,longdress,driving_B_2020.01.16_12.10.03.csv,55,18.2170,18.22,18.22,0.8722,0.980836
102,loot,static_B_2020.02.27_18.39.27.csv,5047,18.1659,18.17,18.17,0.8709,1.129158
103,redandblack,driving_B_2020.02.14_09.38.22.csv,264,-206.7812,-206.78,-206.78,0.8697,1.001696
104,soldier,driving_B_2020.02.14_09.38.22.csv,1464,-49.6061,-49.61,-49.61,0.8684,1.085311
105,longdress,static_B_2019.12.16_13.40.04.csv,1501,32.6863,32.69,32.69,0.8671,0.947639
106,loot,driving_B_2020.02.14_12.58.17.csv,794,-44.5621,-44.56,-44.56,0.8659,1.308903
107,redandblack,driving_B_2019.12.17_07.32.39.csv,33,6.6616,6.66,6.66,0.8646,1.007808
108,soldier,static_B_2019.12.16_13.40.04.csv,721,34.9946,34.99,34.99,0.8633,1.016299
109,longdress,driving_B_2019.12.16_12.27.05.csv,386,-362.0633,-362.06,-362.06,0.8621,1.027078
