# C:\Users\Nima\AppData\Local\Programs\Python\Python313\python.exe -u C:\Users\Nima\PointCloudStreaming\scripts\train_dqn.py --out C:\Users\Nima\PointCloudStreaming\logs/train_runs/qoe_v2_wide\sweep\screen\trial_012_s42\abr_dqn.pkl --run-dir C:\Users\Nima\PointCloudStreaming\logs/train_runs/qoe_v2_wide\sweep\screen\trial_012_s42 --batch-size 64 --coverage-stride 60 --early-stop-patience 0 --epochs 3 --eps-decay-frac 0.7 --eval-every 400 --eval-offsets 3 --eval-seeds 42,43,44 --eval-sequences longdress,loot,redandblack,soldier --gamma 1.0 --hidden 128 --lam 1.0 --lr 0.0003 --mu 4.3 --protocol configs/experiment_protocol.json --reward-spec {"rebuffer_weight": 2.0, "startup_weight": 1.0, "drop_weight": null} --seed 42 --segment-frames 10 --select-by qoe_quality --target-update 1500 --torch-threads 2 --lstm C:\Users\Nima\PointCloudStreaming\models/bandwidth_lstm_s10.pkl
==========================================================================================
🤖 DQN ABR training
   sequences: ['longdress', 'loot', 'redandblack', 'soldier'] | validation sequences: ['longdress', 'loot', 'redandblack', 'soldier']
   protocol: 4071599372abeb61 | train files: 13 | validation files: 4 | registered test files: 4 (NOT evaluated) | frames/episode: 300
   coverage stride: 60 samples -> 417 episodes/epoch x 3 epochs = 1251 episodes (~37530 env steps)
   segment: 10 frames/request (30 decisions/episode) | validation offsets/trace: 3 | validation seeds: [42, 43, 44]
   state_dim: 23 | actions: 6 | feature_spec: ['lstm_pred', 'buffer', 'last_rep_onehot', 'tput_last', 'tput_mean', 'tput_std', 'rep_bitrates', 'rep_densities']
   PyTorch CPU threads/trial: 2
   LSTM: models\bandwidth_lstm_s10.pkl
   reward = QoE: (100/N)*sum(q[fixed_log_bitrate]) - 4.3*stall_duration - 2.0*rebuffer_events - 1.0*sum|delta_segment_q| - (100/N)*dropped_frames - 1.0*startup_delay  (gamma=1.0, lr=0.0003, no learner-side scaling)
   select-by: qoe_quality | out: C:\Users\Nima\PointCloudStreaming\logs/train_runs/qoe_v2_wide\sweep\screen\trial_012_s42\abr_dqn.pkl | run-dir: C:\Users\Nima\PointCloudStreaming\logs/train_runs/qoe_v2_wide\sweep\screen\trial_012_s42
==========================================================================================
[validation @ ep 0] untrained: reward=QoE=-2774.01
[ep    1] longdress    driving_B_2020.02.13_15.02.01.csv@803   reward=QoE=    7.60 eps=0.999 loss=0.0000
[ep    2] loot         driving_B_2020.02.14_09.38.22.csv@1478  reward=QoE=   -7.10 eps=0.998 loss=0.0000
[ep    3] redandblack  driving_B_2020.01.16_09.56.56.csv@348   reward=QoE=  -78.13 eps=0.997 loss=1.5439
[ep    4] soldier      driving_B_2020.01.16_09.56.56.csv@708   reward=QoE=   44.74 eps=0.996 loss=1.5003
[ep    5] longdress    driving_B_2020.02.13_15.02.01.csv@1763  reward=QoE=   33.70 eps=0.995 loss=1.3628
[ep    6] loot         static_B_2020.02.27_18.39.27.csv@4478  reward=QoE=   30.14 eps=0.994 loss=1.1046
[ep    7] redandblack  driving_B_2020.01.16_07.26.43.csv@1724  reward=QoE=  -29.44 eps=0.992 loss=1.0035
[ep    8] soldier      static_B_2019.12.16_13.40.04.csv@126   reward=QoE=   40.58 eps=0.991 loss=1.1580
[ep    9] longdress    driving_B_2020.01.16_09.56.56.csv@108   reward=QoE= -173.69 eps=0.990 loss=1.3787
[ep   10] loot         static_B_2020.02.27_18.39.27.csv@3278  reward=QoE=   35.90 eps=0.989 loss=1.4631
[ep   11] redandblack  driving_B_2020.02.14_09.38.22.csv@222   reward=QoE= -113.87 eps=0.988 loss=1.4841
[ep   12] soldier      driving_B_2020.02.13_13.03.24.csv@2188  reward=QoE= -458.70 eps=0.987 loss=1.9336
[ep   13] longdress    static_B_2020.02.14_13.21.26.csv@809   reward=QoE=   11.79 eps=0.986 loss=2.6149
[ep   14] loot         driving_B_2020.01.16_07.26.43.csv@1770  reward=QoE=  -60.71 eps=0.985 loss=2.3336
[ep   15] redandblack  driving_B_2020.02.13_15.02.01.csv@623   reward=QoE=  -55.38 eps=0.984 loss=2.5313
[ep   16] soldier      driving_B_2019.12.17_07.32.39.csv@558   reward=QoE=  -46.69 eps=0.983 loss=2.4075
[ep   17] longdress    driving_B_2019.12.17_07.32.39.csv@198   reward=QoE=  -12.64 eps=0.982 loss=2.2689
[ep   18] loot         driving_B_2020.01.16_12.10.03.csv@244   reward=QoE=   25.85 eps=0.981 loss=2.2536
[ep   19] redandblack  driving_B_2020.02.13_15.02.01.csv@2754  reward=QoE=  -60.85 eps=0.979 loss=2.2195
[ep   20] soldier      driving_B_2019.12.17_07.32.39.csv@438   reward=QoE=   20.68 eps=0.978 loss=1.9244
[ep   21] longdress    driving_B_2020.01.16_07.26.43.csv@704   reward=QoE=   -1.11 eps=0.977 loss=1.9583
[ep   22] loot         driving_B_2019.12.17_07.32.39.csv@978   reward=QoE= -142.62 eps=0.976 loss=1.9993
[ep   23] redandblack  driving_B_2020.02.27_17.30.15.csv@590   reward=QoE= -122.29 eps=0.975 loss=1.9787
[ep   24] soldier      static_B_2020.02.27_18.39.27.csv@1598  reward=QoE=   10.78 eps=0.974 loss=1.9273
[ep   25] longdress    static_B_2020.02.27_18.39.27.csv@3218  reward=QoE=   -7.68 eps=0.973 loss=1.8910
[ep   26] loot         static_B_2020.02.27_18.39.27.csv@2438  reward=QoE=   31.48 eps=0.972 loss=1.9497
[ep   27] redandblack  static_B_2019.12.16_13.40.04.csv@426   reward=QoE=    4.89 eps=0.971 loss=1.8014
[ep   28] soldier      static_B_2019.12.16_13.40.04.csv@1386  reward=QoE=  -32.90 eps=0.970 loss=1.8680
[ep   29] longdress    driving_B_2020.02.14_12.58.17.csv@284   reward=QoE= -446.65 eps=0.969 loss=2.1568
[ep   30] loot         driving_B_2020.02.14_12.58.17.csv@224   reward=QoE= -739.43 eps=0.967 loss=2.3876
[ep   31] redandblack  driving_B_2020.01.16_09.56.56.csv@468   reward=QoE=   22.04 eps=0.966 loss=2.9375
[ep   32] soldier      driving_B_2019.12.16_12.27.05.csv@1152  reward=QoE=  -11.56 eps=0.965 loss=2.8721
[ep   33] longdress    driving_B_2020.02.13_13.03.24.csv@89    reward=QoE=  -64.65 eps=0.964 loss=2.8210
[ep   34] loot         driving_B_2020.01.16_09.56.56.csv@288   reward=QoE=   50.34 eps=0.963 loss=2.8903
[ep   35] redandblack  driving_B_2020.01.16_12.10.03.csv@244   reward=QoE=   19.36 eps=0.962 loss=3.0097
[ep   36] soldier      static_B_2020.02.27_18.39.27.csv@5378  reward=QoE=   61.15 eps=0.961 loss=2.5518
[ep   37] longdress    driving_B_2020.02.13_15.02.01.csv@83    reward=QoE=   34.38 eps=0.960 loss=2.4224
[ep   38] loot         driving_B_2020.02.13_13.03.24.csv@1349  reward=QoE=  -69.63 eps=0.959 loss=2.3637
[ep   39] redandblack  static_B_2020.02.27_18.39.27.csv@1418  reward=QoE=   42.07 eps=0.958 loss=2.7028
[ep   40] soldier      static_B_2020.02.14_13.21.26.csv@569   reward=QoE=   24.17 eps=0.957 loss=2.3420
[ep   41] longdress    driving_B_2019.12.16_12.27.05.csv@242   reward=QoE=   18.23 eps=0.956 loss=2.2347
[ep   42] loot         static_B_2020.02.27_18.39.27.csv@5138  reward=QoE=   15.61 eps=0.954 loss=2.3801
[ep   43] redandblack  driving_B_2020.02.13_15.02.01.csv@1043  reward=QoE=   21.80 eps=0.953 loss=2.4930
[ep   44] soldier      static_B_2020.02.27_18.39.27.csv@3338  reward=QoE=   46.68 eps=0.952 loss=2.4286
[ep   45] longdress    driving_B_2020.02.13_15.02.01.csv@2423  reward=QoE= -422.82 eps=0.951 loss=2.4230
[ep   46] loot         driving_B_2020.02.14_12.58.17.csv@644   reward=QoE=  -18.48 eps=0.950 loss=2.8983
[ep   47] redandblack  driving_B_2020.02.13_13.03.24.csv@1649  reward=QoE=  -57.61 eps=0.949 loss=2.2165
[ep   48] soldier      driving_B_2020.01.16_09.56.56.csv@648   reward=QoE=  -25.77 eps=0.948 loss=2.6797
[ep   49] longdress    driving_B_2020.02.13_15.02.01.csv@503   reward=QoE=  -35.75 eps=0.947 loss=2.3353
[ep   50] loot         driving_B_2020.02.14_12.58.17.csv@464   reward=QoE= -351.77 eps=0.946 loss=2.3781
[ep   51] redandblack  driving_B_2020.02.13_13.03.24.csv@989   reward=QoE=  -88.37 eps=0.945 loss=2.5749
[ep   52] soldier      static_B_2019.12.16_13.40.04.csv@1146  reward=QoE=  -93.49 eps=0.944 loss=2.5183
[ep   53] longdress    driving_B_2020.01.16_09.56.56.csv@528   reward=QoE=   27.95 eps=0.943 loss=2.8416
[ep   54] loot         driving_B_2019.12.16_12.27.05.csv@842   reward=QoE=   45.72 eps=0.941 loss=2.3620
[ep   55] redandblack  driving_B_2020.01.16_07.26.43.csv@584   reward=QoE=  -58.36 eps=0.940 loss=2.4717
[ep   56] soldier      static_B_2020.02.14_13.21.26.csv@269   reward=QoE=   23.67 eps=0.939 loss=2.5305
[ep   57] longdress    driving_B_2019.12.17_07.32.39.csv@1158  reward=QoE=  -56.19 eps=0.938 loss=2.5181
[ep   58] loot         driving_B_2020.01.16_07.26.43.csv@824   reward=QoE=   21.22 eps=0.937 loss=2.2767
[ep   59] redandblack  driving_B_2020.02.14_12.58.17.csv@704   reward=QoE= -172.88 eps=0.936 loss=2.3735
[ep   60] soldier      driving_B_2020.02.13_13.03.24.csv@1949  reward=QoE= -302.28 eps=0.935 loss=2.2607
[ep   61] longdress    static_B_2019.12.16_13.40.04.csv@846   reward=QoE=   52.49 eps=0.934 loss=2.3853
[ep   62] loot         driving_B_2019.12.16_12.27.05.csv@422   reward=QoE=  -88.46 eps=0.933 loss=2.6834
[ep   63] redandblack  driving_B_2020.02.13_13.03.24.csv@1409  reward=QoE=  -47.09 eps=0.932 loss=1.9224
[ep   64] soldier      driving_B_2020.02.13_13.03.24.csv@2129  reward=QoE= -452.78 eps=0.931 loss=2.6947
[ep   65] longdress    static_B_2020.02.27_18.39.27.csv@3638  reward=QoE=   43.63 eps=0.930 loss=2.4425
[ep   66] loot         driving_B_2020.02.13_13.03.24.csv@869   reward=QoE=  -47.82 eps=0.928 loss=2.6457
[ep   67] redandblack  driving_B_2020.02.14_09.38.22.csv@402   reward=QoE= -109.74 eps=0.927 loss=2.3304
[ep   68] soldier      driving_B_2020.02.13_15.02.01.csv@983   reward=QoE=  -77.16 eps=0.926 loss=2.9019
[ep   69] longdress    static_B_2020.02.27_18.39.27.csv@2258  reward=QoE=   52.26 eps=0.925 loss=2.5397
[ep   70] loot         static_B_2020.02.27_18.39.27.csv@5618  reward=QoE=   36.66 eps=0.924 loss=2.8059
[ep   71] redandblack  driving_B_2019.12.16_12.27.05.csv@302   reward=QoE=  -70.48 eps=0.923 loss=2.6628
[ep   72] soldier      static_B_2020.02.27_18.39.27.csv@998   reward=QoE=   41.17 eps=0.922 loss=2.5575
[ep   73] longdress    driving_B_2020.02.13_13.03.24.csv@569   reward=QoE= -107.19 eps=0.921 loss=2.2093
[ep   74] loot         driving_B_2019.12.16_12.27.05.csv@602   reward=QoE= -352.10 eps=0.920 loss=2.5507
[ep   75] redandblack  driving_B_2019.12.16_12.27.05.csv@2     reward=QoE=   16.74 eps=0.919 loss=2.4192
[ep   76] soldier      static_B_2020.02.27_18.39.27.csv@1778  reward=QoE= -404.66 eps=0.918 loss=2.6141
[ep   77] longdress    driving_B_2020.02.13_15.02.01.csv@323   reward=QoE=   40.98 eps=0.917 loss=2.6690
[ep   78] loot         driving_B_2020.02.13_15.02.01.csv@1703  reward=QoE=   34.67 eps=0.915 loss=2.7052
[ep   79] redandblack  driving_B_2020.02.13_15.02.01.csv@1163  reward=QoE=   48.87 eps=0.914 loss=2.6426
[ep   80] soldier      static_B_2020.02.27_18.39.27.csv@5678  reward=QoE=   49.90 eps=0.913 loss=2.2490
[ep   81] longdress    driving_B_2020.02.14_09.38.22.csv@342   reward=QoE= -163.64 eps=0.912 loss=2.4492
[ep   82] loot         driving_B_2020.02.14_09.38.22.csv@1362  reward=QoE=   47.41 eps=0.911 loss=2.3723
[ep   83] redandblack  driving_B_2020.02.14_09.38.22.csv@462   reward=QoE=  -30.95 eps=0.910 loss=2.7248
[ep   84] soldier      static_B_2019.12.16_13.40.04.csv@1206  reward=QoE=   -3.85 eps=0.909 loss=2.6633
[ep   85] longdress    driving_B_2020.02.14_09.38.22.csv@882   reward=QoE=   35.56 eps=0.908 loss=2.3902
[ep   86] loot         static_B_2020.02.27_18.39.27.csv@2558  reward=QoE=   41.67 eps=0.907 loss=2.9302
